"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2002";"2003";"2004";"2005";"2006";"2007" 
"06110190 Sprogcentret "; 13,1; 10,9; 11,1; 11,1; 11,1; 11,1
"061102 Regeringens fællesud. vedr. EU-form-formandsk "; 307,9; 0,0; 0,0; 0,0; 0,0; 0,0
"06110210 Fællesudgifter "; 307,9; 0,0; 0,0; 0,0; 0,0; 0,0
"061103 Udenrigstjenestens bygninger "; 14,1; 38,0; 38,5; 38,5; 38,5; 38,5
"06110310 Mindre bygge- og vedligeholdsarbejder "; 13,5; 38,0; 38,5; 38,5; 38,5; 38,5
"06110330 Større samlede anlægsprojekter "; 0,6; 0,0; 0,0; 0,0; 0,0; 0,0
"061111 Dansk Center for Menneskerettigheder "; 85,4; 0,0; 0,0; 0,0; 0,0; 0,0
"06111110 Almindelig virksomhed "; 19,9; 0,0; 0,0; 0,0; 0,0; 0,0
"06111190 Indtægtsdækket virksomhed "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"06111195 Tilskudsfinansieret forskningsvirksomhed "; 1,2; 0,0; 0,0; 0,0; 0,0; 0,0
"06111197 Andre tilskudsfinansierede aktiviteter "; 64,1; 0,0; 0,0; 0,0; 0,0; 0,0
"061112 Center for Freds- og Konfliktforskning "; 10,7; 0,0; 0,0; 0,0; 0,0; 0,0
"06111210 Almindelig virksomhed "; 9,4; 0,0; 0,0; 0,0; 0,0; 0,0
"06111295 Tilskudsfinansieret forskningsvirksomhed "; 1,2; 0,0; 0,0; 0,0; 0,0; 0,0
"061113 DCISM "; 0,0; 113,7; 150,2; 122,3; 122,3; 121,9
"06111310 Almindelig virksomhed "; 0,0; 54,7; 62,7; 53,1; 53,1; 52,7
"06111390 Indtægtsdækket virksomhed "; 0,0; 0,5; 0,5; 0,5; 0,5; 0,5
"06111395 Tilskudsfinansieret virksomhed "; 0,0; 11,0; 11,2; 11,2; 11,2; 11,2
"06111397 Andre tilskudsfinansierede aktiviteter "; 0,0; 47,5; 75,8; 57,5; 57,5; 57,5
"061115 Ikke-lovbundne tilskud "; 20,4; 6,1; 7,5; 6,0; 6,0; 6,0
"06111510 Tilskud til oplysningsarbejde m.v. "; 4,2; 5,7; 7,1; 5,6; 5,6; 5,6
"06111520 Tilskud til internationale institutioner "; 0,4; 0,4; 0,4; 0,4; 0,4; 0,4
"06111530 Dansk Udenrigspolitisk Institut "; 15,8; 0,0; 0,0; 0,0; 0,0; 0,0
"061119 Støtteindsatser i EU's nabolande "; 290,3; 256,1; 178,0; 182,1; 181,8; 182,4
"06111910 Almindelig virksomhed "; 0,3; 3,0; 9,0; 5,0; 5,0; 5,0
"06111915 indsatser på Balkan "; 80,5; 134,4; 88,2; 111,2; 111,2; 111,2
"06111920 Demokratifonden "; 39,2; 40,0; 43,0; 20,0; 20,0; 10,0
"06111925 Støtteindsatser i EU's nabolande "; 170,3; 78,7; 37,8; 45,9; 45,6; 56,2
"061123 Garantifonden for investeringer i østlande "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06112310 Garantifonden for investeringer i østlande "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061125 Garantifonden for investeringer i udvik.lande "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06112510 Garantiordningen for investeringer i udv.land"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061127 Klimaprojekter i udviklingslande "; 0,0; 0,0; 95,2; 0,0; 0,0; 0,0
"06112710 CO2-kreditter i udviklingslande "; 0,0; 0,0; 95,2; 0,0; 0,0; 0,0
"061179 Reserver og budgetregulering "; 0,0; 0,0; 0,0; 0,0; 15,3; 29,7
"06117985 Omprioriteringsreserve "; 0,0; 0,0; 0,0; 0,0; 15,3; 29,7
"062 Internationale organisationer "; 370,6; 365,4; 369,7; 387,7; 387,7; 387,7
"0621 Nordiske formål "; 160,8; 157,6; 158,3; 158,3; 158,3; 158,3
"062101 Nordisk Ministerråd "; 156,9; 154,1; 155,2; 155,2; 155,2; 155,2
"06210110 Nordisk Ministerråd "; 156,9; 154,1; 155,2; 155,2; 155,2; 155,2
"062102 Nordisk projekteksportfond (NOPEF) "; 3,9; 3,5; 3,1; 3,1; 3,1; 3,1
"06210210 NOPEF "; 3,9; 3,5; 3,1; 3,1; 3,1; 3,1
"0622 Øvrige internationale organisationer "; 209,9; 207,8; 211,4; 229,4; 229,4; 229,4
"062201 Fredsbevarende operationer "; 21,3; 36,6; 19,4; 37,4; 37,4; 37,4
"06220110 De Forenede Nationer "; 21,3; 36,6; 19,4; 37,4; 37,4; 37,4
"062203 Øvrige organisationer "; 183,7; 167,2; 187,9; 187,9; 187,9; 187,9
"06220310 Almindelig virksomhed "; 183,7; 167,2; 187,9; 187,9; 187,9; 187,9
"062205 Den Europæiske Investeringsbank "; 4,9; 4,0; 4,1; 4,1; 4,1; 4,1
"06220510 Den Europæiske Investeringsbank "; 4,9; 4,0; 4,1; 4,1; 4,1; 4,1
"063 Bistand til udviklingslandene "; 11252,8; 11137,5; 10552,6; 10543,5; 10542,1; 10539,0
"0631 Fællesudgifter "; 650,3; 631,0; 0,0; 0,0; 0,0; 0,0
"063101 Admini. af det internationale udvikl.samarbej "; 650,3; 631,0; 0,0; 0,0; 0,0; 0,0
"06310110 Almindelig virksomhed "; 650,3; 631,0; 0,0; 0,0; 0,0; 0,0
"0632 Bilateral bistand "; 4942,3; 4813,6; 4757,7; 4805,8; 4753,7; 4690,6
"063201 Udviklingslande i Afrika "; 2312,1; 2120,4; 2193,4; 2122,4; 2105,3; 2112,2
"06320110 Tanzania "; 451,0; 370,0; 450,0; 380,0; 380,0; 380,0
"06320111 Kenya "; 71,7; 70,0; 120,0; 120,0; 130,0; 130,0
"06320112 Uganda "; 250,4; 250,0; 275,0; 250,0; 250,0; 250,0
"06320113 Mozambique "; 329,9; 270,0; 290,0; 290,0; 290,0; 290,0
"06320115 Ghana "; 315,3; 290,0; 290,0; 290,0; 290,0; 290,0
"06320116 Benin "; 179,6; 160,0; 180,0; 180,0; 180,0; 180,0
"06320117 Burkina Faso "; 174,8; 175,0; 185,0; 195,0; 195,0; 195,0
"06320118 Zambia "; 159,2; 150,0; 199,0; 180,0; 190,0; 190,0
"06320119 Egypten "; 89,3; 160,0; 75,0; 95,0; 95,0; 95,0
"06320123 Øvrige lande i Afrika "; 291,0; 225,4; 129,4; 142,4; 105,3; 112,2
"063202 Udviklingslande i Asien "; 879,1; 900,5; 893,6; 861,0; 796,0; 731,0
"06320211 Bangladesh "; 229,9; 230,0; 200,0; 230,0; 230,0; 230,0
"06320212 Nepal "; 153,5; 150,0; 150,0; 150,0; 150,0; 150,0
"06320213 Bhutan "; 65,5; 65,0; 70,0; 65,0; 60,0; 55,0
"06320214 Vietnam "; 230,1; 250,0; 300,0; 250,0; 250,0; 250,0
"06320215 Øvrige lande i Asien "; 200,3; 205,5; 173,6; 166,0; 106,0; 46,0
"063203 Udviklingslande i Latinamerika "; 384,5; 336,0; 308,8; 385,0; 390,0; 390,0
"06320310 Nicaragua "; 165,1; 150,0; 190,0; 180,0; 180,0; 180,0
"06320311 Bolivia "; 202,3; 170,0; 130,0; 195,0; 200,0; 200,0
"06320312 Øvrige lande i Latinamerika "; 17,1; 16,0; -11,2; 10,0; 10,0; 10,0
"063204 Personelbistand "; 484,1; 528,0; 407,0; 456,0; 458,0; 458,0
"06320410 Rådgiverbistand "; 292,3; 318,0; 263,0; 308,0; 308,0; 308,0
"06320411 Stipendiatbistand "; 71,0; 60,0; 40,0; 40,0; 40,0; 40,0
"06320412 Firmarådgivere "; 120,7; 150,0; 104,0; 108,0; 110,0; 110,0
"063205 Privat Sektor Programmet m.v. "; 194,9; 142,0; 162,0; 177,0; 180,0; 180,0
"06320510 Forskningsbistandsprojekter "; 57,9; 0,0; -14,0; 0,0; 0,0; 0,0
"06320512 Privat Sektor Programmer (PS-programmer) "; 137,0; 142,0; 150,0; 155,0; 160,0; 160,0
"06320513 Miljø- og Træningsfonden "; 0,0; 0,0; 6,0; 2,0; 0,0; 0,0
"06320515 Offentlige-Private Partnerskaber "; 0,0; 0,0; 20,0; 20,0; 20,0; 20,0
"063206 Blandede kreditter "; 165,4; 300,0; 200,0; 315,0; 320,0; 320,0
"06320610 Blandede kreditter "; 165,4; 300,0; 200,0; 315,0; 320,0; 320,0
"063207 Lånebistand "; 298,3; 163,7; 255,1; 169,4; 169,4; 169,4
"06320712 Afskrivning af lån "; 137,8; 0,0; 0,0; 0,0; 0,0; 0,0
"06320714 Gældslettelse til udviklingslandene "; 160,6; 163,7; 255,1; 169,4; 169,4; 169,4
"063208 Bilateral bistand til regional- og nærområder "; 0,0; 140,0; 196,8; 175,0; 175,0; 175,0
"06320810 Styrkelse af indsatser i nærområder "; 0,0; 70,0; 131,4; 60,0; 60,0; 60,0
"06320820 Bilateral regionalbistand "; 0,0; 70,0; 65,4; 115,0; 115,0; 115,0
"063209 Menneskerettigheder og demokratisering "; 83,7; 108,0; 142,3; 145,0; 160,0; 155,0
"06320910 Projekter til støtte for demokrati og m.ret "; 43,7; 55,0; 97,3; 100,0; 115,0; 110,0
"06320920 Støtte t.Rehabiliterings- og F. Torturof.(RCT"; 25,0; 38,0; 45,0; 45,0; 45,0; 45,0
"06320930 Demokratifonden "; 15,0; 15,0; 0,0; 0,0; 0,0; 0,0
"063210 Overgangsbistand til vestlige Balkan "; 140,1; 75,0; -1,3; 0,0; 0,0; 0,0
"06321010 Overgangsbistand til Albanien "; 20,1; 10,0; 0,0; 0,0; 0,0; 0,0
"06321011 Overgangsbistand til øvrige Balkan "; 120,0; 65,0; -1,3; 0,0; 0,0; 0,0
"0633 NGO-bistand "; 892,4; 900,5; 870,5; 856,5; 858,5; 858,5
"063301 Bistand gennem private organisationer "; 892,4; 900,5; 870,5; 856,5; 858,5; 858,5
"06330110 Projektstøtte under rammeaftaler "; 420,1; 422,0; 352,4; 356,0; 338,0; 338,0
"06330111 Andre samarbejdsformer med NGO'er "; 308,7; 284,0; 349,6; 336,0; 364,3; 364,3
"06330112 Renovering og forsendelse "; 0,0; 0,0; 13,0; 9,0; 9,0; 9,0
"06330113 Mellemfolkeligt Samvirke "; 163,5; 163,5; 155,5; 155,5; 147,2; 147,2
"06330114 NGO-bevillingen i øvrigt "; 0,0; 31,0; 0,0; 0,0; 0,0; 0,0
"0634 Særlig miljøbistand "; 491,7; 509,3; 403,6; 424,6; 424,6; 424,6
"063401 Særlig miljøbistand i udviklingslande "; 491,7; 509,3; 403,6; 424,6; 424,6; 424,6
"06340110 Nye danske indsatser i globale miljøprogram. "; 15,2; 15,0; 0,0; 0,0; 0,0; 0,0
"06340120 Regionale miljøindsatser "; 461,3; 471,3; 380,6; 401,6; 401,6; 401,6
"06340130 Konsulenter og rådgivende firmaer "; 11,9; 20,0; 20,0; 20,0; 20,0; 20,0
"06340140 Informationsindsats "; 3,3; 3,0; 3,0; 3,0; 3,0; 3,0
