"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2005";"2006";"2007";"2008";"2009";"2010" 
"06 Udenrigsministeriet "; -35,3; -356,2; -559,3; -109,3; -109,3; -59,3
"061 Udenrigstjenesten m.v. "; -35,3; -356,2; -559,3; -109,3; -109,3; -59,3
"0611 Udenrigstjenesten "; -35,3; -356,2; -559,3; -109,3; -109,3; -59,3
"061106 Renteindtægt af diverse tilgodehavender "; -35,3; -56,2; -59,3; -59,3; -59,3; -59,3
"06110610 Renteindtægt af diverse tilgodehavender "; -35,3; -56,2; -59,3; -59,3; -59,3; -59,3
"061121 Udlodninger fra IØ og IFU "; 0,0; -300,0; -500,0; -50,0; -50,0; 0,0
"06112110 Udlodninger fra IØ og IFU "; 0,0; -300,0; -500,0; -50,0; -50,0; 0,0
"061123 Garantifonden for investeringer i østlande "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06112310 Garantifonden for investeringer i østlande "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061125 Garantifonden for investeringer i udvik.lande "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06112510 Garantiordningen for investeringer i udv.land"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07 Finansministeriet "; -2561,8; -1291,1; -1663,4; -1163,4; -1163,4; -1163,4
"071 Offentlig økonomi "; -2561,8; -1291,1; -1663,4; -1163,4; -1163,4; -1163,4
"0711 Centralstyrelsen "; -2200,0; -81,0; 0,0; 0,0; 0,0; 0,0
"071127 Overførsel fra Hypotekbankens reserver "; -2200,0; -81,0; 0,0; 0,0; 0,0; 0,0
"07112710 Overførsel fra Hypotekbankens reserver "; -2200,0; -81,0; 0,0; 0,0; 0,0; 0,0
"0715 Statslige selskaber "; -361,8; -1210,1; -1663,4; -1163,4; -1163,4; -1163,4
"071501 Udbytte m.v. fra statslige selskaber "; -260,1; -1210,1; -1663,4; -1163,4; -1163,4; -1163,4
"07150110 Udbytte m.v. "; -260,1; -1210,1; -1663,4; -1163,4; -1163,4; -1163,4
"071502 Salgsindtægter "; -101,7; 0,0; 0,0; 0,0; 0,0; 0,0
"07150240 Bella Center A/S "; -101,7; 0,0; 0,0; 0,0; 0,0; 0,0
"08 Økonomi- og Erhvervsministeriet "; -40,5; -36,9; -2,5; -13,6; -34,6; -11,7
"081 Fællesudgifter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"0811 Centralstyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"081102 Renter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08110210 Renter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"083 Erhvervsfremme og byggeri "; -38,5; -32,1; -0,5; -11,6; -32,6; -9,7
"0836 Afvikling af ophørte ordninger m.v. "; -38,5; -32,1; -0,5; -11,6; -32,6; -9,7
"083606 Afvikling af Investeringsfonden Vækstmarkeder "; -38,5; -32,1; -0,5; -11,6; -32,6; -9,7
"08360610 Afvik Investeringsfonden for Vækstmarkeder "; -38,5; -32,1; -0,5; -11,6; -32,6; -9,7
"087 Søfart "; -2,0; -4,8; -2,0; -2,0; -2,0; -2,0
"0871 Søfart "; -2,0; -4,8; -2,0; -2,0; -2,0; -2,0
"087103 Registreringsafgift for fritidsfartøjer "; -2,0; -2,0; -2,0; -2,0; -2,0; -2,0
"08710310 Registreringsafgift for fritidsfartøjer "; -2,0; -2,0; -2,0; -2,0; -2,0; -2,0
"087117 Indfrielsesordning for statslån "; 0,0; -2,8; 0,0; 0,0; 0,0; 0,0
"08711710 Indtægter ved indfrielse af statslån "; 0,0; -2,8; 0,0; 0,0; 0,0; 0,0
"09 Skatteministeriet "; -120,2; -137,5; -304,7; -1037,9; -1036,4; -1036,4
"091 Fællesudgifter "; -39,7; -41,5; -44,9; -45,5; -45,5; -45,5
"0911 Centralstyrelsen "; -39,7; -41,5; -44,9; -45,5; -45,5; -45,5
"091121 Klagegebyr "; -1,7; -1,5; -0,9; -1,5; -1,5; -1,5
"09112110 Klagegebyr "; -1,7; -1,5; -0,9; -1,5; -1,5; -1,5
"091141 Det Danske Klasselotteri A/S "; -27,5; -29,0; -33,0; -33,0; -33,0; -33,0
"09114110 Betaling for ret til at drive klasselotteri "; -27,5; -29,0; -33,0; -33,0; -33,0; -33,0
"091161 Renter "; -10,6; -11,0; -11,0; -11,0; -11,0; -11,0
"09116110 Renter "; -1,8; -2,0; -2,0; -2,0; -2,0; -2,0
"09116130 Renteindtægter og udbytter "; -8,8; -9,0; -9,0; -9,0; -9,0; -9,0
"092 Forvaltning "; -80,5; -96,0; -259,8; -992,4; -990,9; -990,9
"0921 Skatte- og afgiftsforvaltning "; -80,5; -96,0; -259,8; -992,4; -990,9; -990,9
"092103 Gebyrer, retsafgifter m.v. "; -80,5; -96,0; -259,8; -992,4; -990,9; -990,9
"09210310 Bøder, konfiskation, gebyrer "; -53,4; -68,0; -68,0; -68,0; -68,0; -68,0
"09210320 Gebyrer og formålsbestemte afgifter "; -8,4; -12,0; -12,0; -12,0; -12,0; -12,0
"09210330 Gebyrer på spilleområdet "; -18,8; -16,0; -20,0; -20,0; -20,0; -20,0
"09210340 Gebyrer på motorområdet "; 0,0; 0,0; 0,0; -732,6; -731,1; -731,1
"09210350 Gebyrer på inddrivelsesområdet "; 0,0; 0,0; -159,8; -159,8; -159,8; -159,8
"11 Justitsministeriet "; -3024,8; -2575,0; -2915,0; -1840,0; -1840,0; -1840,0
"112 Politivæsenet "; -2314,9; -1900,0; -2240,0; -1165,0; -1165,0; -1165,0
"1123 Politi "; -2314,9; -1900,0; -2240,0; -1165,0; -1165,0; -1165,0
"112302 Bøder, park.afg., kørekort mv. "; -2222,9; -1810,0; -2150,0; -1075,0; -1075,0; -1075,0
"11230210 Bøder, konfiskationer og gebyrer "; -2222,9; -1810,0; -2150,0; -1075,0; -1075,0; -1075,0
"112307 Kommunal parkeringskontrol "; -92,0; -90,0; -90,0; -90,0; -90,0; -90,0
"11230710 Parkeringskontrol "; -92,0; -90,0; -90,0; -90,0; -90,0; -90,0
"114 Retsvæsenet "; -709,8; -675,0; -675,0; -675,0; -675,0; -675,0
"1143 Sagsindtægter "; -709,8; -675,0; -675,0; -675,0; -675,0; -675,0
"114301 Retsafgifter mv. "; -391,9; -425,0; -425,0; -425,0; -425,0; -425,0
"11430110 Retsafgifter m.v. "; -391,9; -425,0; -425,0; -425,0; -425,0; -425,0
"114302 Indtægter ved EDB i tinglysningen "; -317,9; -250,0; -250,0; -250,0; -250,0; -250,0
"11430250 EDB i tinglysningen "; -317,9; -250,0; -250,0; -250,0; -250,0; -250,0
"12 Forsvarsministeriet "; -22,5; -23,3; -23,3; -23,3; -23,3; -23,3
"122 Militært forsvar "; -22,5; -23,3; -23,3; -23,3; -23,3; -23,3
"1221 Forsvarskommandoen og Hjemmeværnet "; -22,5; -23,3; -23,3; -23,3; -23,3; -23,3
"122109 Isafgifter fra skibe og havne "; -22,3; -23,3; -23,3; -23,3; -23,3; -23,3
"12210910 Isafgifter fra skibe og havne "; -22,3; -23,3; -23,3; -23,3; -23,3; -23,3
"122110 Administrative bøder "; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"12211010 Administrative bøder "; -0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"16 Indenrigs- og Sundhedsministeriet "; -9,0; -8,4; -7,9; -7,9; -7,9; -7,9
"161 Fællesudgifter "; -9,0; -8,4; -7,9; -7,9; -7,9; -7,9
"1611 Centralstyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"161175 Renteindtægter og renteudgifter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"16117510 Renteudg. og renteindt. af div. tilg.hav. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"1613 Regional statsforvaltning "; -9,0; -8,4; -7,9; -7,9; -7,9; -7,9
"161305 Gebyrordninger for statsforvaltningerne "; -9,0; -8,4; -7,9; -7,9; -7,9; -7,9
"16130510 Gebyr f. skilsmissebev. og navnebeviser "; -9,0; -8,4; -7,9; -7,9; -7,9; -7,9
"17 Beskæftigelsesministeriet "; -123,6; -115,4; -124,5; -124,5; -124,5; -124,5
"171 Fællesudgifter "; -8,0; -6,1; -4,1; -4,1; -4,1; -4,1
"1719 Øvrige fællesudgifter "; -8,0; -6,1; -4,1; -4,1; -4,1; -4,1
"171938 Renter "; -8,0; -6,1; -4,1; -4,1; -4,1; -4,1
"17193810 Arbejdsløshedskasser "; -4,9; -3,0; -4,0; -4,0; -4,0; -4,0
"17193820 Øvrige ministerområde "; -3,1; -3,1; -0,1; -0,1; -0,1; -0,1
"172 Arbejdsmiljø "; -115,5; -109,3; -120,4; -120,4; -120,4; -120,4
"1722 Arbejdsmarkedets parters arbejdsmiljøindsats "; -115,5; -109,3; -120,4; -120,4; -120,4; -120,4
