"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2003";"2004";"2005";"2006";"2007";"2008" 
"06110190 Sprogcentret "; 11,4; 11,1; 11,3; 11,3; 11,3; 11,3
"061102 Regeringens fællesudg. vedr. EU-formandsskab "; 14,6; 0,0; 0,0; 0,0; 0,0; 0,0
"06110210 Fællesudgifter "; 14,6; 0,0; 0,0; 0,0; 0,0; 0,0
"061103 Udenrigstjenestens bygninger "; 16,6; 38,5; 39,1; 39,1; 39,1; 39,1
"06110310 Bygge- og vedligeholdsarbejder "; 16,6; 38,5; 39,1; 39,1; 39,1; 39,1
"061113 DCISM "; 154,8; 129,3; 153,1; 145,6; 145,2; 145,2
"06111310 Almindelig virksomhed "; 73,0; 60,1; 68,7; 61,2; 60,8; 60,8
"06111390 Indtægtsdækket virksomhed "; 2,1; 0,5; 1,9; 1,9; 1,9; 1,9
"06111395 Tilskudsfinansieret virksomhed "; 15,4; 11,2; 17,0; 17,0; 17,0; 17,0
"06111397 Andre tilskudsfinansierede aktiviteter "; 64,3; 57,5; 65,5; 65,5; 65,5; 65,5
"061115 Ikke-lovbundne tilskud "; 11,6; 6,0; 8,8; 6,3; 6,3; 6,3
"06111510 Tilskud til oplysningsarbejde m.v. "; 10,7; 5,6; 6,6; 5,6; 5,6; 5,6
"06111520 Tilskud til internationale institutioner "; 0,9; 0,4; 2,2; 0,7; 0,7; 0,7
"061119 Bilateralt naboskabsprogram "; 295,3; 178,0; 183,2; 182,6; 183,0; 0,0
"06111910 Almindelig virksomhed "; 0,0; 9,0; 9,0; 8,0; 8,0; 0,0
"06111915 indsatser på Balkan "; 137,6; 111,2; 0,0; 0,0; 0,0; 0,0
"06111920 Demokratifonden "; 72,1; 20,0; 0,0; 0,0; 0,0; 0,0
"06111925 Støtteindsatser i EU's nabolande "; 85,6; 37,8; 0,0; 0,0; 0,0; 0,0
"06111930 Naboskabsindsatser på Balkan osv. "; 0,0; 0,0; 115,9; 120,6; 140,2; 0,0
"06111940 Naboskabsindsatser i Rusland osv. "; 0,0; 0,0; 58,3; 54,0; 34,8; 0,0
"061123 Garantifonden for investeringer i østlande "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06112310 Garantifonden for investeringer i østlande "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061125 Garantifonden for investeringer i udvik.lande "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06112510 Garantiordningen for investeringer i udv.land"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061127 Klimaprojekter i udviklingslande "; 0,0; 95,2; 95,2; 0,0; 0,0; 0,0
"06112710 CO2-kreditter i udviklingslande "; 0,0; 95,2; 95,2; 0,0; 0,0; 0,0
"061179 Reserver og budgetregulering "; 0,0; 0,0; 0,0; 15,3; 29,7; 57,9
"06117903 Budgetregulering, jf. aftale om kultur mv. "; 0,0; 0,0; 0,0; -0,3; -0,6; -0,8
"06117985 Omprioriteringsreserve "; 0,0; 0,0; 0,0; 15,6; 30,3; 58,7
"062 Internationale organisationer "; 373,8; 387,7; 384,2; 384,2; 384,2; 384,2
"0621 Nordiske formål "; 158,5; 158,3; 151,5; 151,3; 151,3; 151,3
"062101 Nordisk Ministerråd "; 155,0; 155,2; 151,5; 151,3; 151,3; 151,3
"06210110 Nordisk Ministerråd "; 155,0; 155,2; 151,5; 151,3; 151,3; 151,3
"062102 Nordisk projekteksportfond (NOPEF) "; 3,4; 3,1; 0,0; 0,0; 0,0; 0,0
"06210210 NOPEF "; 3,4; 3,1; 0,0; 0,0; 0,0; 0,0
"0622 Øvrige internationale organisationer "; 215,3; 229,4; 232,7; 232,9; 232,9; 232,9
"062201 Fredsbevarende operationer "; 26,1; 37,4; 38,0; 38,0; 38,0; 38,0
