"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2001";"2002";"2003";"2004";"2005";"2006" 
"01 Dronningen "; 53,1; 57,0; 58,5; 58,5; 58,5; 58,5
"011 Statsydelse "; 53,1; 57,0; 58,5; 58,5; 58,5; 58,5
"0111 Statsydelse "; 53,1; 57,0; 58,5; 58,5; 58,5; 58,5
"011101 Statsydelse "; 53,1; 57,0; 58,5; 58,5; 58,5; 58,5
"01110110 Almindelig virksomhed "; 53,1; 57,0; 58,5; 58,5; 58,5; 58,5
"02 Medlemmer af det kongelige hus "; 8,9; 7,7; 7,9; 7,9; 7,9; 7,9
"021 Årpenge "; 8,9; 7,7; 7,9; 7,9; 7,9; 7,9
"0211 Årpenge "; 8,9; 7,7; 7,9; 7,9; 7,9; 7,9
"021101 Årpenge "; 8,9; 7,7; 7,9; 7,9; 7,9; 7,9
"02110110 Almindelig virksomhed "; 8,9; 7,7; 7,9; 7,9; 7,9; 7,9
"03 Folketinget "; 714,7; 802,1; 802,8; 760,8; 761,6; 761,6
"031 Udgifter ved Folketinget "; 531,1; 605,9; 598,5; 556,7; 556,7; 556,7
"0311 Folketinget "; 531,1; 605,9; 598,5; 556,7; 556,7; 556,7
"031101 Administration "; 244,9; 259,4; 265,7; 253,1; 253,1; 253,1
"03110110 Almindelig virksomhed "; 210,3; 224,8; 235,0; 232,4; 232,4; 232,4
"03110120 Projekter "; 34,6; 34,6; 30,7; 20,7; 20,7; 20,7
"031102 Folketingets adm. pensionsud.og overførs.indt "; 14,3; 14,8; 15,3; 15,3; 15,3; 15,3
"03110210 Almindelig virksomhed "; 14,3; 14,8; 15,3; 15,3; 15,3; 15,3
"031103 Det parlamentariske arbejde "; 271,8; 306,4; 290,6; 261,4; 261,4; 261,4
"03110310 Folketingsvederlag og boliggodtgørelse "; 130,1; 132,8; 136,1; 107,3; 107,3; 107,3
"03110320 Befordringsudgifter "; 10,6; 11,1; 11,3; 11,3; 11,3; 11,3
"03110330 Folketingsgruppestøtte "; 97,5; 109,9; 99,2; 99,2; 99,2; 99,2
"03110340 Udvalgsarbejde m.v. "; 22,1; 39,0; 29,6; 29,2; 29,2; 29,2
"03110350 Interparlamentariske forsamlinger "; 11,6; 13,6; 14,4; 14,4; 14,4; 14,4
"031104 Folketingspensioner "; 0,0; 25,3; 26,9; 26,9; 26,9; 26,9
"03110410 Almindelig virksomhed "; 0,0; 25,3; 26,9; 26,9; 26,9; 26,9
"032 Folketingets Ombudsmand "; 34,3; 36,8; 39,9; 39,3; 39,3; 39,3
"0321 Folketingets Ombudsmand "; 34,3; 36,8; 39,9; 39,3; 39,3; 39,3
"032101 Folketingets Ombudsmand "; 33,6; 36,1; 39,1; 38,5; 38,5; 38,5
"03210110 Almindelig virksomhed "; 33,6; 36,1; 39,1; 38,5; 38,5; 38,5
"032102 Folketingets Ombudsmands pens.udg. og ovf.ind "; 0,8; 0,7; 0,8; 0,8; 0,8; 0,8
"03210210 Almindelig virksomhed "; 0,8; 0,7; 0,8; 0,8; 0,8; 0,8
"033 Statsrevisoratet og Rigsrevisionen "; 149,3; 159,4; 164,4; 164,8; 165,6; 165,6
"0331 Statsrevisoratet og Rigsrevisionen "; 149,3; 159,4; 164,4; 164,8; 165,6; 165,6
"033101 Statsrevisoratet "; 4,6; 5,0; 5,2; 5,2; 5,2; 5,2
"03310110 Almindelig virksomhed "; 4,6; 5,0; 5,2; 5,2; 5,2; 5,2
"033111 Rigsrevisionen "; 140,8; 150,2; 154,9; 155,3; 156,1; 156,1
"03311110 Almindelig virksomhed "; 140,8; 150,2; 154,9; 155,3; 156,1; 156,1
"033112 Rigsrevisionens pensionsudg. og overførind "; 3,9; 4,2; 4,3; 4,3; 4,3; 4,3
"03311210 Almindelig virksomhed "; 3,9; 4,2; 4,3; 4,3; 4,3; 4,3
"05 Statsministeriet "; 113,6; 110,9; 126,0; 113,3; 107,6; 107,6
"051 Fællesudgifter "; 113,6; 110,9; 126,0; 113,3; 107,6; 107,6
"0511 Centralstyrelsen "; 95,3; 96,4; 107,4; 98,2; 92,5; 92,5
"051101 Departementet "; 62,6; 72,0; 66,9; 66,0; 65,3; 63,3
"05110110 Almindelig virksomhed "; 62,3; 71,7; 66,6; 65,7; 65,0; 63,0
"05110130 Avisårbogen "; 0,3; 0,3; 0,3; 0,3; 0,3; 0,3
"051103 Vederlag og repræsentationstillæg t. ministre "; 19,0; 14,6; 22,7; 18,4; 13,4; 13,4
"05110310 Almindelig virksomhed "; 19,0; 14,6; 22,7; 18,4; 13,4; 13,4
"051111 Dagspressens Finansieringsinstitut "; 13,8; 9,8; 17,8; 13,8; 13,8; 13,8
"05111110 Dagspressens Finansieringsinstitut "; 13,8; 9,8; 17,8; 13,8; 13,8; 13,8
"051179 Reserver og budgetregulering "; 0,0; 0,0; 0,0; 0,0; 0,0; 2,0
"05117985 Omprioriteringsreserve "; 0,0; 0,0; 0,0; 0,0; 0,0; 2,0
"0512 Grønland og Færøerne "; 18,2; 14,5; 18,6; 15,1; 15,1; 15,1
"051203 Rigsombudsmanden i Grønland "; 7,9; 7,7; 11,6; 8,1; 8,1; 8,1
"05120310 Almindelig virksomhed "; 7,9; 7,7; 11,6; 8,1; 8,1; 8,1
"051251 Rigsombudsmanden på Færøerne "; 10,3; 6,8; 7,0; 7,0; 7,0; 7,0
"05125110 Almindelig virksomhed "; 10,3; 6,8; 7,0; 7,0; 7,0; 7,0
"06 Udenrigsministeriet "; 15576,1; 13878,8; 13953,3; 13223,7; 13179,3; 13166,3
"061 Udenrigstjenesten m.v. "; 3210,9; 2553,2; 2568,2; 1745,3; 1708,7; 1716,2
"0611 Udenrigstjenesten "; 3210,9; 2553,2; 2568,2; 1745,3; 1708,7; 1716,2
"061101 Udenrigstjenesten "; 1858,5; 1792,4; 1666,0; 1631,6; 1601,9; 1594,4
"06110110 Generelle opgaver "; 641,9; 621,3; 519,8; 518,4; 496,8; 489,8
"06110120 Administration af udviklingsbistand "; 667,7; 640,5; 649,7; 624,0; 624,0; 624,0
"06110130 Eksportfremme "; 375,3; 377,9; 350,7; 349,7; 349,4; 348,9
"06110140 Konsulære opgaver "; 162,1; 141,8; 134,9; 128,6; 120,8; 120,8
"06110190 Indtægtsd. virks. Udenrigsm. Sprogskole "; 11,4; 10,9; 10,9; 10,9; 10,9; 10,9
"061102 Regeringens fællesud. vedr. EU-form-formandsk "; 0,0; 196,0; 0,0; 0,0; 0,0; 0,0
"06110210 Fællesudgifter "; 0,0; 196,0; 0,0; 0,0; 0,0; 0,0
"061103 Udenrigstjenestens bygninger "; 22,1; 6,6; 12,3; 13,0; 13,0; 13,0
"06110310 Mindre bygge- og vedligeholdsarbejder "; 20,4; 3,7; 12,3; 13,0; 13,0; 13,0
"06110330 Større samlede anlægsprojekter "; 1,7; 2,9; 0,0; 0,0; 0,0; 0,0
"061111 Dansk Center for Menneskerettigheder "; 87,8; 47,4; 0,0; 0,0; 0,0; 0,0
"06111110 Almindelig virksomhed "; 24,7; 13,2; 0,0; 0,0; 0,0; 0,0
"06111190 Indtægtsdækket virksomhed "; 0,0; 0,1; 0,0; 0,0; 0,0; 0,0
"06111195 Tilskudsfinansieret virksomhed "; 1,4; 1,1; 0,0; 0,0; 0,0; 0,0
"06111197 Andre tilskudsfinansierede aktiviteter "; 61,6; 33,0; 0,0; 0,0; 0,0; 0,0
"061112 Center for Freds- og Konfliktforskning "; 12,0; 11,3; 0,0; 0,0; 0,0; 0,0
"06111210 Almindelig virksomhed "; 11,0; 9,3; 0,0; 0,0; 0,0; 0,0
"06111295 Tilskudsfinansieret forskningsvirksomhed "; 1,0; 2,0; 0,0; 0,0; 0,0; 0,0
"061113 DCISM "; 0,0; 0,0; 126,0; 112,1; 105,2; 105,2
"06111310 Almindelig virksomhed "; 0,0; 0,0; 67,0; 53,1; 46,2; 46,2
"06111390 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,5; 0,5; 0,5; 0,5
"06111395 Tilskudsfinansieret virksomhed "; 0,0; 0,0; 11,0; 11,0; 11,0; 11,0
"06111397 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 47,5; 47,5; 47,5; 47,5
"061115 Ikke-lovbundne tilskud "; 20,4; 18,1; 6,5; 6,1; 6,1; 6,1
"06111510 Tilskud til oplysningsarbejde m.v. "; 7,2; 5,6; 6,1; 5,7; 5,7; 5,7
"06111520 Tilskud til internationale institutioner "; 0,6; 0,4; 0,4; 0,4; 0,4; 0,4
"06111530 Dansk Udenrigspolitisk Institut "; 9,0; 12,1; 0,0; 0,0; 0,0; 0,0
"06111540 Denmark.dk "; 3,7; 0,0; 0,0; 0,0; 0,0; 0,0
"061116 Miljøindsatser i udviklingslande "; 903,5; 504,5; 509,3; 0,0; 0,0; 0,0
"06111610 Nye danske indsatser i globale miljøprogr. "; 30,0; 15,0; 15,0; 0,0; 0,0; 0,0
"06111620 Regionale miljøindsatser "; 413,8; 477,5; 471,3; 0,0; 0,0; 0,0
"06111630 Konsulenter og rådgivende firmaer "; 31,8; 9,0; 20,0; 0,0; 0,0; 0,0
"06111640 Informationsindsats "; 5,9; 3,0; 3,0; 0,0; 0,0; 0,0
"06111650 Miljøbistand til Sydøstasien "; 196,4; 0,0; 0,0; 0,0; 0,0; 0,0
"06111660 Miljøbistand til det sydlige Afrika "; 195,3; 0,0; 0,0; 0,0; 0,0; 0,0
"06111670 Tværgående aktiviteter "; 30,2; 0,0; 0,0; 0,0; 0,0; 0,0
"061117 Forebyggelse og bilæggelse af konflikter "; 73,7; 4,5; 129,4; 5,1; 5,1; 5,1
"06111710 Genopbygning Somalia, Bosnien m.v. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06111720 Almindelig virksomhed "; 5,9; 0,0; 3,0; 0,0; 0,0; 0,0
"06111730 Genopbygningsbistand Bosnien "; 8,4; 0,0; 0,0; 0,0; 0,0; 0,0
"06111740 Fredsindsatser Balkan "; 31,6; 0,0; 107,0; 0,0; 0,0; 0,0
"06111745 Øvrige fredsindsatser "; 16,1; 0,0; 12,0; 0,0; 0,0; 0,0
"06111750 Dansk Center for Holocaust- og Folkedrabsstu."; 9,5; 4,5; 0,0; 0,0; 0,0; 0,0
"06111760 Reserve til uforudsete indsatser "; 2,2; 0,0; 2,3; 0,0; 0,0; 0,0
"06111770 Internationalt Humanitært Beredskab "; 0,0; 0,0; 5,1; 5,1; 5,1; 5,1
"061118 Demokratifonden "; 62,7; 17,4; 40,0; 0,0; 0,0; 0,0
"06111810 Demokratifonden "; 62,7; 17,4; 40,0; 0,0; 0,0; 0,0
"061122 Udenrigsministeriets Øststøtteprogrammer "; 119,9; 5,0; 78,7; 0,0; 0,0; 0,0
"06112210 Almindelig virksomhed "; 18,3; 0,0; 34,2; 0,0; 0,0; 0,0
"06112215 Dansk deltagelse i PHARE-programmer "; 8,0; 0,0; 4,0; 0,0; 0,0; 0,0
"06112220 EU-førtiltrædelsesprogram "; 68,1; 0,0; 37,5; 0,0; 0,0; 0,0
"06112230 Sociale initiativer i Østersøregionen "; 12,8; 0,0; 0,0; 0,0; 0,0; 0,0
"06112235 Bidrag til øststøtte under andre organisation"; 1,2; 0,0; 3,0; 0,0; 0,0; 0,0
"06112250 Demokratifremme "; 4,5; 0,0; 0,0; 0,0; 0,0; 0,0
"06112260 Bidrag til øststøtteakt. under andre institu."; 3,4; 0,0; 0,0; 0,0; 0,0; 0,0
"06112270 Anden støtte til Central- og Østeuropa "; -1,4; 0,0; 0,0; 0,0; 0,0; 0,0
"06112275 Internationalt Humanitært Beredskab "; 5,0; 5,0; 0,0; 0,0; 0,0; 0,0
"061123 Garantifonden for investeringer i østlande "; 0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"06112310 Garantifonden for investeringer i østlande "; 0,2; 0,0; 0,0; 0,0; 0,0; 0,0
"061124 Investeringsfonden for Østeuropa (IØ-Fonden) "; 50,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06112420 Miljøforb. inv. i øst (grøn inv.facilitet) "; 50,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061125 Garantifonden for investeringer i udvik.lande "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"06112510 Garantiordningen for investeringer i udv.land"; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"061178 Budgetreguleringskonto "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06117810 Neg. budg.reg. vedr. just. af UMs ejendomme "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061179 Reserver og budgetregulering "; 0,0; -50,0; 0,0; -22,6; -22,6; -7,6
"06117910 Negativ budgetregulering vedr. støtte erhv.om"; 0,0; -50,0; 0,0; -22,6; -22,6; -22,6
"06117985 Omprioriteringsreserve "; 0,0; 0,0; 0,0; 0,0; 0,0; 15,0
"062 Internationale organisationer "; 387,0; 347,0; 387,4; 364,1; 363,7; 360,7
"0621 Nordiske formål "; 159,5; 159,4; 157,6; 157,1; 158,8; 155,8
"062101 Nordisk Ministerråd "; 155,3; 155,5; 154,1; 157,1; 158,8; 155,8
"06210110 Nordisk Ministerråd "; 155,3; 155,5; 154,1; 157,1; 158,8; 155,8
"062102 Nordisk projekteksportfond (NOPEF) "; 4,1; 3,9; 3,5; 0,0; 0,0; 0,0
"06210210 NOPEF "; 4,1; 3,9; 3,5; 0,0; 0,0; 0,0
"0622 Øvrige internationale organisationer "; 227,5; 187,6; 229,8; 207,0; 204,9; 204,9
"062201 Fredsbevarende operationer "; 45,0; 34,5; 36,6; 36,6; 36,6; 36,6
"06220110 De Forenede Nationer "; 45,0; 34,5; 36,6; 36,6; 36,6; 36,6
"062203 Øvrige organisationer "; 175,0; 149,1; 189,2; 166,4; 164,3; 164,3
"06220310 Almindelig virksomhed "; 175,0; 149,1; 189,2; 166,4; 164,3; 164,3
"062205 Den Europæiske Investeringsbank "; 7,6; 4,0; 4,0; 4,0; 4,0; 4,0
"06220510 Den Europæiske Investeringsbank "; 7,6; 4,0; 4,0; 4,0; 4,0; 4,0
"063 Bistand til udviklingslandene "; 11500,4; 10497,7; 10535,7; 10653,2; 10653,2; 10653,2
"0631 Fællesudgifter "; 643,8; 640,0; 654,7; 656,0; 656,0; 656,0
