"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2012";"2013";"2014";"2015";"2016";"2017" 
"06 Udenrigsministeriet "; -46,0; -56,5; -31,9; -49,8; -55,1; -39,1
"061 Udenrigstjenesten mv. "; 0,3; 0,3; -3,7; -7,7; -10,1; -10,1
"0611 Udenrigstjenesten mv. "; 0,3; 0,3; -3,7; -7,7; -10,1; -10,1
"061101 Udenrigstjenesten "; 0,3; 0,3; -6,7; -7,7; -10,1; -10,1
"06110110 Generel udenrigspolitik "; 0,3; 0,3; -10,1; -10,1; -10,1; -10,1
"06110130 Eksport- og investeringsfremme mv. "; 0,0; 0,0; 3,4; 2,4; 0,0; 0,0
"061112 Dansk Institut for Internationale Studier "; 0,0; 0,0; 3,0; 0,0; 0,0; 0,0
"06111210 Almindelig virksomhed "; 0,0; 0,0; 3,0; 0,0; 0,0; 0,0
"064 eksportfremme "; -46,3; -56,8; -28,2; -42,1; -45,0; -29,0
"0641 Fællesudgifter "; 0,0; 0,0; 1,6; 1,1; 0,0; 0,0
"064102 Eksportstipendiater og handelskontorer "; 0,0; 0,0; 1,6; 1,1; 0,0; 0,0
"06410210 Eksportstipendiater og handelskontorer "; 0,0; 0,0; 1,6; 1,1; 0,0; 0,0
"0642 Eksportfinansiering "; -46,3; -56,8; -29,8; -43,2; -45,0; -29,0
"064201 Eksport Kredit Fonden "; -16,6; -27,0; 0,0; -29,0; -31,0; -25,0
"06420130 Tilbageførsel fra Danmarks Erhvervsfond "; -16,6; -27,0; 0,0; -29,0; -31,0; -25,0
"064202 Ordninger under Eksport Kredit Fonden "; -29,8; -29,8; -29,8; -14,2; -14,0; -4,0
"06420270 Renteudligningsordning "; -29,0; -29,0; -29,0; -14,0; -14,0; -4,0
"06420280 Garantiordning for investeringer i østlande "; 0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"06420285 Garantiordning udviklingslande "; -0,9; -0,8; -0,8; -0,2; 0,0; 0,0
"07 Finansministeriet "; 0,0; 0,0; 536,9; 22,4; 22,4; 22,4
"071 Offentlig økonomi "; 0,0; 0,0; 45,4; 19,2; 19,2; 19,2
"0712 Digitalisering "; 0,0; 0,0; 33,2; 0,0; 0,0; 0,0
"071201 Digitaliseringsstyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07120110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071203 Fonden for Velfærdsteknologi "; 0,0; 0,0; 33,2; 0,0; 0,0; 0,0
"07120320 FVT - udmøntede projekter "; 0,0; 0,0; 9,5; 0,0; 0,0; 0,0
"07120330 FVT - Reserver og budgetregulering "; 0,0; 0,0; 23,7; 0,0; 0,0; 0,0
"0713 Administration "; 0,0; 0,0; 19,2; 19,2; 19,2; 19,2
"071301 Statens Administration "; 0,0; 0,0; 1,3; 1,3; 1,3; 1,3
"07130110 Almindelig virksomhed "; 0,0; 0,0; 1,3; 1,3; 1,3; 1,3
"071305 Fleksjobordning i staten mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07130510 Fleksjobordning i staten mv. "; 0,0; 0,0; -18,1; -19,3; -20,7; -22,4
"07130520 Fleksjob - ansatte efter 1. januar 2013 "; 0,0; 0,0; -11,1; -7,0; -3,0; 0,9
"07130530 Fleksjob - ansatte før 1. jan. 2013 "; 0,0; 0,0; 29,2; 26,3; 23,7; 21,5
"071306 Barselsfonden "; 0,0; 0,0; -6,0; -6,0; -6,0; -6,0
"07130610 Barselsfonden "; 0,0; 0,0; -6,0; -6,0; -6,0; -6,0
"071340 Regulering vedr. tipsfonde "; 0,0; 0,0; 23,9; 23,9; 23,9; 23,9
"07134030 Regulering vedrørende tipsfonde (07.18) "; 0,0; 0,0; 23,9; 23,9; 23,9; 23,9
"0714 Modernisering af den offentlige sektor "; 0,0; 0,0; -7,0; 0,0; 0,0; 0,0
"071401 Moderniseringsstyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07140110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071406 Partssamarbejde om tillid mv "; 0,0; 0,0; -7,0; 0,0; 0,0; 0,0
"07140610 Almindelig virksomhed "; 0,0; 0,0; -7,0; 0,0; 0,0; 0,0
"0718 Tipsfonde "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071803 Fond til undervisning og folkeoplysning "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180330 Min. f. Børn og Undv. fond til undv. og f.opl"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071809 Fond til humanitære og almennyttige formål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180950 De landsdækkende almennyttige organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180960 Støtte til andre almennyttige formål mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071814 Fond til idrætsorganisationer mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181420 Team Danmark "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181430 Danmarks Idrætsforbund "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181440 Danske Gymnastik- og idrætsforeninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181450 Dansk Firmaidrætsforbund "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181460 Lokale- og anlægsfonden "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181470 Hestevæddeløbssportens Finansieringsfond "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071815 Fond til kulturelle formål mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181520 Kulturministeriets fond til kulturelle formål"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181530 Landsdækkende oplysningsforbund m.fl. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181540 Ungdomsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071816 Fond til forskningsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181630 Støtte til forskningsformål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071817 Ministeriet for Sundhed og Forebyggelse "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181720 Sygdomsbekæmpende organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071818 Miljøministeriets fond til friluftsliv "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181820 Friluftsliv m.v. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071819 Soc, B, og Intg.min. fond til sociale formål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181920 Pulje til handicaporg. og -foreninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181930 Ældreorganisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181940 Landsdækkende frivillige organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181950 Særlige sociale formål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"073 Grønland og Færøerne "; 0,0; 0,0; 3,2; 3,2; 3,2; 3,2
"0732 Færøerne "; 0,0; 0,0; 3,2; 3,2; 3,2; 3,2
"073211 Generelt tilskud til Færøernes hjemmestyre "; 0,0; 0,0; 3,2; 3,2; 3,2; 3,2
"07321110 Generelt tilskud til Færøernes hjemmestyre "; 0,0; 0,0; 3,2; 3,2; 3,2; 3,2
"075 Danmarks bidrag til EU's egne indtægter "; 0,0; 0,0; 488,3; 0,0; 0,0; 0,0
"0751 Danmarks bidrag til EU's egne indtægter "; 0,0; 0,0; 488,3; 0,0; 0,0; 0,0
"075101 Told "; 0,0; 0,0; 877,6; 0,0; 0,0; 0,0
"07510110 Told "; 0,0; 0,0; 877,6; 0,0; 0,0; 0,0
"075103 Sukkerafgifter "; 0,0; 0,0; 1,2; 0,0; 0,0; 0,0
"07510310 Sukkerafgifter "; 0,0; 0,0; 1,2; 0,0; 0,0; 0,0
"075105 EU told og sukkerafgifter "; 0,0; 0,0; -851,8; 0,0; 0,0; 0,0
"07510510 told og sukkerafgifter "; 0,0; 0,0; -878,7; 0,0; 0,0; 0,0
"07510520 refusion for told og sukkerafgifter "; 0,0; 0,0; 26,9; 0,0; 0,0; 0,0
"075111 Bidrag til EU vedrørende moms og BNI "; 0,0; 0,0; 461,3; 0,0; 0,0; 0,0
"07511110 fælles beregningsgrundlag for moms "; 0,0; 0,0; -45,5; 0,0; 0,0; 0,0
"07511120 fælles beregningsgrundlag for BNI "; 0,0; 0,0; 506,8; 0,0; 0,0; 0,0
"08 Erhvervs- og Vækstministeriet "; 46,0; 46,5; 784,9; 801,4; 876,6; 689,7
"081 Fællesudgifter "; -0,3; -1,1; -29,8; -20,7; -23,7; -24,4
"0811 Centralstyrelsen "; -0,3; -1,1; -29,8; -20,7; -23,7; -24,4
"081101 Departementet "; -0,3; -1,1; 1,9; 10,0; 7,0; 6,3
"08110110 Almindelig virksomhed "; -0,3; -1,1; 1,9; 10,0; 7,0; 6,3
"081179 Reserver og budgetregulering "; 0,0; 0,0; -31,7; -30,7; -30,7; -30,7
"08117910 Lønninger mv. "; 0,0; 0,0; -0,5; 0,0; 0,0; 0,0
"08117940 Reserver "; 0,0; 0,0; -1,2; -0,7; -0,7; -0,7
"08117977 Budgetregulering vedr. Statens It "; 0,0; 0,0; -30,0; -30,0; -30,0; -30,0
"082 Erhvervsregulering "; 0,0; -9,2; 760,1; 788,5; 849,4; 673,9
"0821 Erhvervsreg. og forbrugerbeskyttelse "; 0,0; -9,2; 44,2; 42,6; 81,5; 72,0
"082101 Konkurrence- og Forbrugerstyrelsen "; 0,0; 0,0; 8,4; 6,5; 6,5; 6,5
"08210110 Almindelig virksomhed "; 0,0; 0,0; 8,4; 6,5; 6,5; 6,5
"082120 Erhvervsstyrelsen "; 0,0; -9,2; 38,9; 36,8; 35,7; 30,7
"08212010 Almindelig virksomhed "; 0,0; -9,2; 38,9; 36,8; 35,7; 30,7
"082126 Frekvensauktioner "; 0,0; 0,0; 0,0; 0,0; 40,0; 40,0
"08212610 3G-auktion "; 0,0; 0,0; 0,0; 0,0; 40,0; 40,0
"082127 Frekvens- og nummerafgifter "; 0,0; 0,0; -5,2; -5,2; -5,2; -5,2
"08212710 Frekvens- og nummerafgifter "; 0,0; 0,0; -5,2; -5,2; -5,2; -5,2
"082179 Reserve til sager hos Forbrugerombudsmanden "; 0,0; 0,0; 2,1; 4,5; 4,5; 0,0
"08217910 Reserve til finansielle sager "; 0,0; 0,0; 2,1; 4,5; 4,5; 0,0
"0822 Erhvervs- og sikkerhedsforhold "; 0,0; 0,0; 2,5; 2,5; 2,5; 2,5
"082241 Sikkerhedsstyrelsen "; 0,0; 0,0; 2,5; 2,5; 2,5; 2,5
"08224110 Alm. virksomhed "; 0,0; 0,0; 2,5; 2,5; 2,5; 2,5
"0823 Finansielt tilsyn "; 0,0; 0,0; 100,0; 50,0; 50,0; 50,0
"082301 Finanstilsynet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08230110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082306 Indtægter fra Bankpakken og Kreditpakken "; 0,0; 0,0; 100,0; 50,0; 50,0; 50,0
"08230615 Provision af individuelle garantier "; 0,0; 0,0; 100,0; 50,0; 50,0; 50,0
"0825 Nordsøfonden mv. "; 0,0; 0,0; 613,4; 693,4; 715,4; 549,4
"082501 Enhed til administration af fonden "; 0,0; 0,0; 0,4; 0,4; 0,4; 0,4
"08250110 Enhed til administration af fonden "; 0,0; 0,0; 0,4; 0,4; 0,4; 0,4
"082503 Udbytte fra Nordsøfonden "; 0,0; 0,0; 613,0; 693,0; 715,0; 549,0
"08250310 Udbytte "; 0,0; 0,0; 613,0; 693,0; 715,0; 549,0
"083 Erhvervsfremme "; 46,3; 56,8; 42,5; 22,4; 39,7; 29,0
"0831 Fællesudgifter "; 0,0; 0,0; -58,0; -54,5; -40,0; 0,0
"083105 Tilskud til standardisering mv. "; 0,0; 0,0; 1,0; 1,0; 0,0; 0,0
"08310510 Tilskud til standardisering mv. "; 0,0; 0,0; 1,0; 1,0; 0,0; 0,0
"083178 Reserver og budgetregulering, budg.ramme "; 0,0; 0,0; -59,0; -55,5; -40,0; 0,0
"08317830 Insats for erhverv m. int. konk.kraft "; 0,0; 0,0; -24,0; -17,5; 0,0; 0,0
