"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2005";"2006";"2007";"2008";"2009";"2010" 
"06 Udenrigsministeriet "; 1,2; 2,4; 36,9; 384,3; 229,6; -14,0
"061 Udenrigstjenesten m.v. "; 1,2; 2,4; -265,6; 178,7; 175,2; 21,2
"0611 Udenrigstjenesten "; 1,2; 2,4; -265,6; 178,7; 175,2; 21,2
"061101 Udenrigstjenesten "; 0,0; 0,0; 26,2; 21,2; 19,2; 17,2
"06110110 Generel udenrigspolitik "; 0,0; 0,0; 17,3; 17,3; 15,8; 14,4
"06110130 Eksportfremme mv. "; 0,0; 0,0; 2,0; 2,0; 1,7; 1,3
"06110140 Borgerservice "; 0,0; 0,0; 6,9; 1,9; 1,7; 1,5
"061113 DCISM "; 0,0; 0,0; 4,5; 3,5; 2,0; 0,0
"06111310 Almindelig virksomhed "; 0,0; 0,0; 4,5; 3,5; 2,0; 0,0
"061121 Udlodninger fra IØ og IFU "; 0,0; 0,0; -300,0; 150,0; 150,0; 0,0
"06112110 Udlodninger fra IØ og IFU "; 0,0; 0,0; -300,0; 150,0; 150,0; 0,0
"061123 Garantifonden for investeringer i østlande "; 0,0; 0,2; 1,2; 1,5; 1,5; 1,5
"06112310 Garantifonden for investeringer i østlande "; 0,0; 0,2; 1,2; 1,5; 1,5; 1,5
"061125 Garantifonden for investeringer i udvik.lande "; 1,1; 2,2; 2,5; 2,5; 2,5; 2,5
"06112510 Garantiordningen for investeringer i udv.land"; 1,1; 2,2; 2,5; 2,5; 2,5; 2,5
"063 Bistand til udviklingslandene "; 0,0; 0,0; 299,8; 201,9; 51,7; -35,9
"0632 Bilateral bistand "; 0,0; 0,0; 299,8; 201,9; 51,7; -35,9
"063207 Lånebistand "; 0,0; 0,0; 299,8; 201,9; 51,7; -35,9
"06320714 Gældslettelse til udviklingslandene "; 0,0; 0,0; 299,8; 201,9; 51,7; -35,9
"064 eksportfremme "; 0,0; 0,0; 2,7; 3,7; 2,7; 0,7
"0641 Fællesudgifter "; 0,0; 0,0; 2,7; 3,7; 2,7; 0,7
"064102 Eksportstipendiater "; 0,0; 0,0; 2,7; 3,7; 2,7; 0,7
"06410210 Eksportstipendiater "; 0,0; 0,0; 2,7; 3,7; 2,7; 0,7
"07 Finansministeriet "; 0,0; 0,0; 2433,4; -74,0; -93,9; -94,3
"071 Offentlig økonomi "; 0,0; 0,0; 2418,4; -89,0; -108,9; -109,3
"0713 Finansforvaltning "; 0,0; 0,0; 17,7; 17,7; 17,7; 17,7
"071305 Fleksjobordning i staten m.v. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07130510 Fleksjobordning i staten m.v. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071306 Barselsfonden "; 0,0; 0,0; 17,7; 17,7; 17,7; 17,7
"07130610 Barselsfonden "; 0,0; 0,0; 17,7; 17,7; 17,7; 17,7
"0715 Statslige selskaber "; 0,0; 0,0; 2500,0; 0,0; 0,0; 0,0
"071501 Udbytte m.v. fra statslige selskaber "; 0,0; 0,0; -500,0; 0,0; 0,0; 0,0
"07150110 Udbytte m.v. "; 0,0; 0,0; -500,0; 0,0; 0,0; 0,0
"071507 Statens kapitalindskud "; 0,0; 0,0; 3000,0; 0,0; 0,0; 0,0
"07150730 Statens kapitalindskud i Forebyggelsesfonden "; 0,0; 0,0; 3000,0; 0,0; 0,0; 0,0
"0716 Slotte og ejendomme "; 0,0; 0,0; -99,3; -106,7; -126,6; -127,0
"071601 Slots- og Ejendomsstyrelsen - Kontorejendomme "; 0,0; 0,0; -113,7; -134,5; -130,9; -127,0
"07160110 Driftsbudget "; 0,0; 0,0; -202,4; -204,6; -204,6; -204,6
"07160120 Kapitalomkostninger "; 0,0; 0,0; 89,7; 88,9; 91,8; 95,7
"07160130 Resultat "; 0,0; 0,0; -1,0; -18,8; -18,1; -18,1
"071602 SEA aktiver og passiver "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07160210 Investeringsbudget "; 0,0; 0,0; -43,4; -37,0; -16,8; -5,0
"07160220 Låntagning "; 0,0; 0,0; 19,2; -9,7; -24,6; 0,0
"07160230 Ejendomme og langfristet gæld "; 0,0; 0,0; 24,2; 46,7; 41,4; 5,0
"071604 Slots- og Ejendomsstyrelsen - Slotte og haver "; 0,0; 0,0; 14,4; 27,8; 4,3; 0,0
"07160410 Vedligeholdelse, anlæg vedr. slotte og haver "; 0,0; 0,0; 14,4; 27,8; 4,3; 0,0
"073 Grønland og Færøerne "; 0,0; 0,0; 15,0; 15,0; 15,0; 15,0
"0731 Grønland "; 0,0; 0,0; 7,7; 7,7; 7,7; 7,7
"073103 Tilskud til Grønlands hjemmestyre "; 0,0; 0,0; 7,7; 7,7; 7,7; 7,7
"07310310 Tilskud til Grønlands hjemmestyre "; 0,0; 0,0; 7,7; 7,7; 7,7; 7,7
"0732 Færøerne "; 0,0; 0,0; 7,3; 7,3; 7,3; 7,3
"073212 Tilskud til Færøernes hjemmestyre "; 0,0; 0,0; 7,3; 7,3; 7,3; 7,3
"07321210 Tilskud til Færøernes hjemmestyre "; 0,0; 0,0; 7,3; 7,3; 7,3; 7,3
"08 Økonomi- og Erhvervsministeriet "; -32,3; -34,7; -370,1; 341,1; 332,1; 303,1
"081 Fællesudgifter "; 0,0; 0,0; 1,9; 1,9; 1,9; 1,9
"0811 Centralstyrelsen "; 0,0; 0,0; 1,9; 1,9; 1,9; 1,9
"081101 Departementet "; 0,0; 0,0; 1,9; 1,9; 1,9; 1,9
"08110110 Almindelig virksomhed "; 0,0; 0,0; 1,9; 1,9; 1,9; 1,9
"082 Erhvervsregulering "; 0,0; 0,0; 5,0; 5,0; 5,0; 5,0
"0821 Tilsyns- og registreringsvirksomhed "; 0,0; 0,0; 5,0; 5,0; 5,0; 5,0
"082111 Konkurrencestyrelsen "; 0,0; 0,0; 5,0; 5,0; 5,0; 5,0
"08211110 Almindelig virksomhed "; 0,0; 0,0; 5,0; 5,0; 5,0; 5,0
"083 Erhvervsfremme og byggeri "; -1,2; -2,4; -345,0; 366,3; 356,4; 322,0
"0831 Fællesudgifter "; 0,0; 0,0; -23,8; -23,4; -23,4; -23,4
"083101 Erhvervs- og Byggestyrelsen "; 0,0; 0,0; 22,0; 21,9; 21,4; 21,0
"08310110 Almindelig virksomhed "; 0,0; 0,0; 22,0; 21,9; 21,4; 21,0
"083179 Reserve til overførte amtslige opgaver "; 0,0; 0,0; -45,8; -45,3; -44,8; -44,4
"08317902 Reserve til overførte amtslige opgaver "; 0,0; 0,0; -45,8; -45,3; -44,8; -44,4
