"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2007";"2008";"2009";"2010";"2011";"2012" 
"05 Statsministeriet "; 0,0; 0,0; -0,3; -0,3; -0,2; -0,2
"051 Fællesudgifter "; 0,0; 0,0; -0,3; -0,3; -0,2; -0,2
"0511 Centralstyrelsen "; 0,0; 0,0; -0,3; -0,3; -0,2; -0,2
"051101 Departementet "; 0,0; 0,0; -0,1; -0,1; -0,1; -0,1
"05110110 Almindelig virksomhed "; 0,0; 0,0; -0,1; -0,1; -0,1; -0,1
"051179 Reserver og budgetregulering "; 0,0; 0,0; -0,2; -0,2; -0,1; -0,1
"05117986 Budgetregulering vedr. ASC "; 0,0; 0,0; -0,4; -0,5; -0,6; -0,6
"05117987 Reserve til betaling til ASC "; 0,0; 0,0; 0,2; 0,3; 0,5; 0,5
"06 Udenrigsministeriet "; 0,0; 0,0; -36,1; 5,0; -203,6; -203,3
"061 Udenrigstjenesten m.v. "; 0,0; 0,0; -30,8; 12,9; -187,6; -187,3
"0611 Udenrigstjenesten "; 0,0; 0,0; -30,8; 12,9; -187,6; -187,3
"061101 Udenrigstjenesten "; 0,0; 0,0; 6,9; 6,5; 6,5; 6,5
"06110110 Generel udenrigspolitik "; 0,0; 0,0; 6,9; 6,5; 6,5; 6,5
"061104 Regeringens fællesudgifter vedr. COP15 "; 0,0; 0,0; 8,5; 8,5; 8,5; 8,5
"06110410 Fællesudgifter "; 0,0; 0,0; 8,5; 8,5; 8,5; 8,5
"061115 Ikke-lovbundne tilskud "; 0,0; 0,0; 6,4; 1,4; 1,4; 1,3
"06111510 Tilskud til oplysningsarbejde m.v. "; 0,0; 0,0; 6,4; 1,4; 1,4; 1,3
"061121 Udlodninger fra IØ og IFU "; 0,0; 0,0; -50,0; 0,0; -200,0; -200,0
"06112110 Udlodninger fra IØ og IFU "; 0,0; 0,0; -50,0; 0,0; -200,0; -200,0
"061179 Reserver og budgetregulering "; 0,0; 0,0; -2,6; -3,5; -4,0; -3,6
"06117986 Budgetregulering vedr. ASC "; 0,0; 0,0; -4,7; -13,1; -15,2; -14,8
"06117987 Reserve til betaling til ASC "; 0,0; 0,0; 2,1; 9,6; 11,2; 11,2
"063 Bistand til udviklingslandene "; 0,0; 0,0; 10,7; 8,1; 0,0; 0,0
"0635 Forsknings- og oplysningsvirksomhed "; 0,0; 0,0; 10,7; 8,1; 0,0; 0,0
"063501 Forskning og oplysning i Danmark m.v. "; 0,0; 0,0; 10,7; 8,1; 0,0; 0,0
"06350111 Forskningsvirksomhed "; 0,0; 0,0; 10,7; 8,1; 0,0; 0,0
"064 eksportfremme "; 0,0; 0,0; -16,0; -16,0; -16,0; -16,0
"0641 Fællesudgifter "; 0,0; 0,0; -16,0; -16,0; -16,0; -16,0
"064102 Eksportstipendiater "; 0,0; 0,0; -6,0; -6,0; -6,0; -6,0
"06410210 Eksportstipendiater "; 0,0; 0,0; -6,0; -6,0; -6,0; -6,0
"06410220 Innovationscentre "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"064103 Særlige eksportfremmetilskud "; 0,0; 0,0; -10,0; -10,0; -10,0; -10,0
"06410310 smv-programmet "; 0,0; 0,0; -2,0; -2,0; -2,0; -2,0
"06410320 Eksportfremmetilskud "; 0,0; 0,0; -8,0; -8,0; -8,0; -8,0
"07 Finansministeriet "; 0,0; 0,0; 419,8; 260,1; 188,5; 135,0
"071 Offentlig økonomi "; 0,0; 0,0; 419,8; 260,1; 188,5; 135,0
"0711 Centralstyrelsen "; 0,0; 0,0; 367,5; 223,2; 161,5; 111,7
"071101 Departementet "; 0,0; 0,0; 1,2; -0,8; -0,8; -0,8
"07110110 Almindelig virksomhed "; 0,0; 0,0; -1,0; -0,8; -0,8; -0,8
"07110130 Arbejdsmarkedskommissionen "; 0,0; 0,0; 2,2; 0,0; 0,0; 0,0
"071102 Effektivisering af offentlige institutioner "; 0,0; 0,0; 366,3; 224,0; 162,3; 112,5
"07110231 Kapacitetstilpasningsreserve "; 0,0; 0,0; 54,6; 24,2; 0,0; 0,0
"07110232 Implementeringspulje "; 0,0; 0,0; 135,4; 165,6; 151,3; 112,5
"07110280 Arbejdskraftbesparende teknologi "; 0,0; 0,0; 176,3; 34,2; 11,0; 0,0
"071108 DREAM-Gruppen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07110810 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"0712 Økonomisystemer og økonomiforvaltning "; 0,0; 0,0; -2,1; -1,8; -1,7; -1,7
"071201 Økonomistyrelsen "; 0,0; 0,0; -2,1; -1,8; -1,7; -1,7
"07120110 Almindelig virksomhed "; 0,0; 0,0; -2,1; -1,8; -1,7; -1,7
"071202 Økonomiservicecenter (ØSC) "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07120210 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"0713 Finansforvaltning "; 0,0; 0,0; 30,7; 30,7; 30,7; 30,7
"071305 Fleksjobordning i staten mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07130510 Fleksjobordning i staten mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071306 Barselsfonden "; 0,0; 0,0; 30,7; 30,7; 30,7; 30,7
"07130610 Barselsfonden "; 0,0; 0,0; 30,7; 30,7; 30,7; 30,7
"0714 Personalerådgivning, løn- og pensionsforvalt. "; 0,0; 0,0; 12,9; 10,2; 3,9; -0,1
"071401 Personalestyrelsen "; 0,0; 0,0; 8,9; 6,2; -0,1; -0,1
"07140110 Almindelig virksomhed "; 0,0; 0,0; 0,3; 0,5; -0,1; -0,1
"07140170 Lønkommission "; 0,0; 0,0; 8,6; 5,7; 0,0; 0,0
"071404 Ledelsespolitiske initiativer "; 0,0; 0,0; 4,0; 4,0; 4,0; 0,0
"07140430 Institutionslederes ret til lederuddannelse "; 0,0; 0,0; 4,0; 4,0; 4,0; 0,0
"0716 Slotte og ejendomme "; 0,0; 0,0; 10,8; -2,2; -5,9; -5,6
"071601 SEA-ordningen "; 0,0; 0,0; -0,3; -1,5; -2,6; -2,4
"07160110 SEA-virksomheden "; 0,0; 0,0; -0,3; -1,5; -2,6; -2,4
"071603 Slots- og Ejendomsstyrelsen "; 0,0; 0,0; -0,5; -2,7; -3,3; -3,2
"07160310 Driftsbudget "; 0,0; 0,0; -0,5; -2,7; -3,3; -3,2
"071604 Slots- og Ejendomsstyrelsen - Slotte og haver "; 0,0; 0,0; 11,6; 2,0; 0,0; 0,0
