"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2010";"2011";"2012";"2013";"2014";"2015" 
"05 Statsministeriet "; 0,0; 0,0; 0,6; 0,6; 0,6; 0,6
"051 Fællesudgifter "; 0,0; 0,0; 0,6; 0,6; 0,6; 0,6
"0511 Centralstyrelsen "; 0,0; 0,0; -1,0; 0,0; 0,0; 0,0
"051101 Departementet "; 0,0; 0,0; -1,0; 0,0; 0,0; 0,0
"05110110 Almindelig virksomhed "; 0,0; 0,0; -1,0; 0,0; 0,0; 0,0
"0512 Grønland og Færøerne "; 0,0; 0,0; 1,6; 0,6; 0,6; 0,6
"051203 Rigsombudsmanden i Grønland "; 0,0; 0,0; 0,8; 0,8; 0,8; 0,8
"05120310 Almindelig virksomhed "; 0,0; 0,0; 0,8; 0,8; 0,8; 0,8
"051251 Rigsombudsmanden på Færøerne "; 0,0; 0,0; 0,8; -0,2; -0,2; -0,2
"05125110 Almindelig virksomhed "; 0,0; 0,0; 0,8; -0,2; -0,2; -0,2
"06 Udenrigsministeriet "; 0,0; 0,0; 176,4; 649,5; 31,5; 31,5
"061 Udenrigstjenesten m.v. "; 0,0; 0,0; 74,1; 33,5; 31,5; 31,5
"0611 Udenrigstjenesten mv. "; 0,0; 0,0; 74,1; 33,5; 31,5; 31,5
"061101 Udenrigstjenesten "; 0,0; 0,0; 18,8; 23,5; 21,5; 21,5
"06110110 Generel udenrigspolitik "; 0,0; 0,0; 21,5; 21,5; 21,5; 21,5
"06110130 Eksport- og investeringsfremme mv. "; 0,0; 0,0; -2,7; 2,0; 0,0; 0,0
"061102 Reg. fællesudgifter vedr. EU-formandskabet "; 0,0; 0,0; 45,3; 0,0; 0,0; 0,0
"06110210 Fællesudgifter "; 0,0; 0,0; 45,3; 0,0; 0,0; 0,0
"061113 DCISM "; 0,0; 0,0; 10,0; 10,0; 10,0; 10,0
"06111310 Almindelig virksomhed "; 0,0; 0,0; 10,0; 10,0; 10,0; 10,0
"063 Bistand til udviklingslandene "; 0,0; 0,0; 86,3; 600,0; 0,0; 0,0
"0631 Reserver "; 0,0; 0,0; 238,0; 600,0; 0,0; 0,0
"063179 Reserver "; 0,0; 0,0; 238,0; 600,0; 0,0; 0,0
"06317910 Reserve "; 0,0; 0,0; 238,0; 600,0; 0,0; 0,0
"0632 Bilateral bistand "; 0,0; 0,0; -191,7; 0,0; 0,0; 0,0
"063201 Udviklingslande i Afrika "; 0,0; 0,0; -187,7; 0,0; 0,0; 0,0
"06320109 Sydsudan "; 0,0; 0,0; -40,0; 0,0; 0,0; 0,0
"06320126 AK "; 0,0; 0,0; -147,7; 0,0; 0,0; 0,0
"063202 Udviklingslande i Asien og Latinamerika "; 0,0; 0,0; -4,0; 0,0; 0,0; 0,0
"06320206 Cambodja "; 0,0; 0,0; -4,0; 0,0; 0,0; 0,0
"0635 Forsknings- og oplysningsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"063501 Forskning og oplysning i Danmark mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06350110 Projekter i Danmark "; 0,0; 0,0; 19,0; 0,0; 0,0; 0,0
"06350111 Forskningsvirksomhed "; 0,0; 0,0; -19,0; 0,0; 0,0; 0,0
"0639 Humanitær bistand "; 0,0; 0,0; 40,0; 0,0; 0,0; 0,0
"063902 Humanitære bidrag kriser "; 0,0; 0,0; 40,0; 0,0; 0,0; 0,0
"06390210 Humanitære bidrag "; 0,0; 0,0; 40,0; 0,0; 0,0; 0,0
"064 eksportfremme "; 0,0; 0,0; 16,0; 16,0; 0,0; 0,0
"0641 Fællesudgifter "; 0,0; 0,0; 16,0; 16,0; 0,0; 0,0
"064103 Særlige eksportfremmetilskud "; 0,0; 0,0; 16,0; 16,0; 0,0; 0,0
"06410310 smv-programmet "; 0,0; 0,0; 8,0; 8,0; 0,0; 0,0
"06410320 Eksportfremme "; 0,0; 0,0; 8,0; 8,0; 0,0; 0,0
"07 Finansministeriet "; 0,0; 0,0; 224,6; 0,0; 0,0; 0,0
"071 Offentlig økonomi "; 0,0; 0,0; 224,6; 0,0; 0,0; 0,0
"0712 Økonomisystemer og økonomiforvaltning "; 0,0; 0,0; 52,6; 0,0; 0,0; 0,0
"071201 Digitaliseringsstyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07120110 Almindelig virksomhed "; 0,0; 0,0; 3,0; 1,2; -0,2; -0,2
"07120130 NemKonto til private udbetalere "; 0,0; 0,0; -3,0; -1,2; 0,2; 0,2
"071203 Fonden for Velfærdsteknologi "; 0,0; 0,0; 52,6; 0,0; 0,0; 0,0
"07120310 FVT - Administration "; 0,0; 0,0; 6,0; 0,0; 0,0; 0,0
"07120330 FVT - Reserver og budgetregulering "; 0,0; 0,0; 46,6; 0,0; 0,0; 0,0
"0713 Administration "; 0,0; 0,0; 172,0; 0,0; 0,0; 0,0
"071342 Danske Spil "; 0,0; 0,0; 172,0; 0,0; 0,0; 0,0
"07134210 Danske Spil "; 0,0; 0,0; 172,0; 0,0; 0,0; 0,0
"08 Erhvervs- og Vækstministeriet "; 0,0; 0,0; -1170,1; -424,3; 4,1; 7,1
"081 Fællesudgifter "; 0,0; 0,0; 6,5; 4,4; 4,4; 4,4
"0811 Centralstyrelsen "; 0,0; 0,0; 6,5; 4,4; 4,4; 4,4
"081101 Departementet "; 0,0; 0,0; 6,5; 4,4; 4,4; 4,4
"08110110 Almindelig virksomhed "; 0,0; 0,0; 6,5; 4,4; 4,4; 4,4
"082 Erhvervsregulering "; 108,0; 104,0; -1180,6; -402,2; 88,9; 87,0
"0821 Erhvervreg. og forbrugerbeskyt- og opl. "; 108,0; 104,0; 119,4; 97,8; 88,9; 87,0
"082101 Konkurrence- og Forbrugerstyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08210113 Sekretariatsbetjening af Stormrådet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082102 Forskellige indtægter under KFST "; 0,0; 0,0; 1,4; 1,4; 1,4; 1,4
"08210210 Gebyrer vedr. klagenævn og betalingsmiddellov"; 0,0; 0,0; 1,4; 1,4; 1,4; 1,4
"082120 Erhvervsstyrelsen "; 328,6; 282,7; 283,5; 240,7; 211,3; 206,5
"08212010 Almindelig virksomhed "; 281,4; 275,7; 276,8; 234,0; 204,7; 199,9
"08212011 Administrative lettelser "; 46,3; 0,0; 0,0; 0,0; 0,0; 0,0
"08212020 Medlemsbidrag til int. organisation "; 2,8; 2,8; 2,8; 2,8; 2,8; 2,8
"08212021 Kvalitet i erhvervsreguleringen "; 0,6; 0,6; 0,6; 0,6; 0,6; 0,6
"08212022 Digitale forvaltningsløsninger "; 6,9; 7,0; 2,5; 2,5; 2,4; 2,4
"08212023 Administrative lettelser for iværksættere "; 0,8; 0,8; 0,8; 0,8; 0,8; 0,8
"08212090 Indtægsdækket virksomhed "; 0,0; 0,1; 0,0; 0,0; 0,0; 0,0
"08212095 Tilskudsfinansieret forskningsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212097 Andre tilskudsfinansierede aktiviteter "; -10,2; -4,3; 0,0; 0,0; 0,0; 0,0
"082121 Erhvervs- og Selskabsstyrelsen "; -220,6; -177,5; -162,6; -141,2; -120,7; -117,8
"08212110 Almindelig virksomhed "; -166,0; -169,1; -158,7; -137,3; -116,9; -114,0
"08212111 Administrative lettelser "; -46,3; 0,0; 0,0; 0,0; 0,0; 0,0
"08212120 Kvalitet i erhvervsreguleringen "; -0,6; -0,6; -0,6; -0,6; -0,6; -0,6
"08212121 Digitale forvaltningsløsninger "; -6,9; -7,0; -2,5; -2,5; -2,4; -2,4
"08212122 Administrative lettelser for iværksættere "; -0,8; -0,8; -0,8; -0,8; -0,8; -0,8
"08212197 Andre tilskudsfinansierede aktiviteter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082125 Forsk. indt. u. Erhvervs- og Selsk.styrelsen "; 0,0; -1,2; -0,4; -0,6; -0,6; -0,6
"08212510 Adfærdsregulerende afgifter "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212520 Bøder i forbindelse med ulovlige auktionærlån"; 0,0; 0,0; -0,1; -0,3; -0,3; -0,3
"08212525 Bøder udstedt af Revisornævnet "; 0,0; 0,0; 0,1; 0,1; 0,1; 0,1
"08212530 Adfærdsregulerende afgifter "; 0,0; -1,2; -0,4; -0,4; -0,4; -0,4
"082127 Frekvens- og nummerafgifter "; 0,0; 0,0; -2,5; -2,5; -2,5; -2,5
"08212710 Frekvens- og nummerafgifter "; 0,0; 0,0; -2,5; -2,5; -2,5; -2,5
