"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2004";"2005";"2006";"2007";"2008";"2009" 
"06 Udenrigsministeriet "; 0,0; 0,0; 4,6; 4,3; 4,1; 4,1
"061 Udenrigstjenesten m.v. "; 0,0; 0,0; 6,8; 6,5; 6,3; 6,3
"0611 Udenrigstjenesten "; 0,0; 0,0; 6,8; 6,5; 6,3; 6,3
"061101 Udenrigstjenesten "; 0,0; 0,0; 5,5; 5,2; 5,0; 5,0
"06110110 Generel udenrigspolitik "; 0,0; 0,0; 3,3; 3,0; 2,8; 2,8
"06110130 Eksportfremme mv. "; 0,0; 0,0; 2,2; 2,2; 2,2; 2,2
"061115 Ikke-lovbundne tilskud "; 0,0; 0,0; 1,3; 1,3; 1,3; 1,3
"06111520 Tilskud til internationale institutioner "; 0,0; 0,0; 1,3; 1,3; 1,3; 1,3
"064 eksportfremme "; 0,0; 0,0; -2,2; -2,2; -2,2; -2,2
"0641 Fællesudgifter "; 0,0; 0,0; -2,2; -2,2; -2,2; -2,2
"064102 Eksportstipendiater "; 0,0; 0,0; -2,2; -2,2; -2,2; -2,2
"06410210 Eksportstipendiater "; 0,0; 0,0; -2,2; -2,2; -2,2; -2,2
"07 Finansministeriet "; 0,0; 0,0; 2326,0; 1861,4; 1860,2; 1860,2
"071 Offentlig økonomi "; 0,0; 0,0; 2326,0; 1861,4; 1860,2; 1860,2
"0711 Centralstyrelsen "; 0,0; 0,0; -146,0; -32,0; -32,0; -32,0
"071102 Effektivisering af offentlige institutioner "; 0,0; 0,0; -26,4; -26,4; -26,4; -26,4
"07110230 Elektroniske betalinger "; 0,0; 0,0; -26,4; -26,4; -26,4; -26,4
"071104 Fremme af digital forvaltning "; 0,0; 0,0; -33,0; 0,0; 0,0; 0,0
"07110420 Digitalisering i staten "; 0,0; 0,0; -15,0; 0,0; 0,0; 0,0
"07110430 Konkurrenceevnepakken "; 0,0; 0,0; -18,0; 0,0; 0,0; 0,0
"071127 Overførsel fra Hypotekbankens reserver "; 0,0; 0,0; -81,0; 0,0; 0,0; 0,0
"07112710 Overførsel fra Hypotekbankens reserver "; 0,0; 0,0; -81,0; 0,0; 0,0; 0,0
"071179 Reserver og budgetregulering "; 0,0; 0,0; -5,6; -5,6; -5,6; -5,6
"07117940 Ny model for statens tjenesterejseforsikring "; 0,0; 0,0; -5,6; -5,6; -5,6; -5,6
"0712 Økonomisystemer og økonomiforvaltning "; 0,0; 0,0; 37,9; 36,4; 35,9; 35,9
"071201 Økonomistyrelsen "; 0,0; 0,0; 37,9; 36,4; 35,9; 35,9
"07120110 Almindelig virksomhed "; 0,0; 0,0; 37,9; 36,4; 35,9; 35,9
"0714 Personalerådgivning, løn- og pensionsforvalt. "; 0,0; 0,0; 1,1; 1,2; 1,2; 1,2
"071402 Centrale statslige ordninger "; 0,0; 0,0; 1,1; 1,2; 1,2; 1,2
"07140210 Statens tjenesterejseforsikring "; 0,0; 0,0; 1,1; 1,2; 1,2; 1,2
"0715 Statslige selskaber "; 0,0; 0,0; 2425,0; 1850,0; 1850,0; 1850,0
"071501 Udbytte m.v. fra statslige selskaber "; 0,0; 0,0; -200,0; -150,0; -150,0; -150,0
"07150110 Udbytte m.v. "; 0,0; 0,0; -200,0; -150,0; -150,0; -150,0
"071507 Statens kapitalindskud "; 0,0; 0,0; 2625,0; 2000,0; 2000,0; 2000,0
"07150710 Statens kapitalindskud i Højteknologifonden "; 0,0; 0,0; 2000,0; 2000,0; 2000,0; 2000,0
"07150720 Statens kapitalindskud i Finansieringsfonden "; 0,0; 0,0; 625,0; 0,0; 0,0; 0,0
"0716 Slotte og ejendomme "; 0,0; 0,0; 8,0; 5,8; 5,1; 5,1
"071603 Slots- og Ejendomsstyrelsen - Slotte og haver "; 0,0; 0,0; 4,6; 4,6; 4,6; 4,6
"07160310 Driftsbudget "; 0,0; 0,0; 4,6; 4,6; 4,6; 4,6
"071604 Slots- og Ejendomsstyrelsen - Slotte og haver "; 0,0; 0,0; 0,5; 0,0; 0,0; 0,0
"07160410 Vedligeholdelse, anlæg vedr. slotte og haver "; 0,0; 0,0; 0,5; 0,0; 0,0; 0,0
"071609 Nye arkiver til Rigsarkivet (OPP-projekt) "; 0,0; 0,0; 2,9; 1,2; 0,5; 0,5
"07160910 Driftsbudget "; 0,0; 0,0; 2,9; 1,2; 0,5; 0,5
"08 Økonomi- og Erhvervsministeriet "; 0,0; 0,0; 118,9; 111,0; 108,9; 106,5
"081 Fællesudgifter "; 0,0; 0,0; 13,8; 17,3; 18,1; 15,7
"0811 Centralstyrelsen "; 0,0; 0,0; 13,8; 17,3; 18,1; 15,7
"081101 Departementet "; 0,0; 0,0; -1,2; 2,3; 3,1; 0,7
"08110110 Almindelig virksomhed "; 0,0; 0,0; -1,2; 2,3; 3,1; 0,7
"08110190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"081121 Koncernøkonomi "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08112190 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"081122 Koncern IT "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08112290 Indtægtsdækket virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"081179 Reserver og budgetregulering "; 0,0; 0,0; 15,0; 15,0; 15,0; 15,0
"08117950 Pulje til styrket statistikdækning "; 0,0; 0,0; 15,0; 15,0; 15,0; 15,0
"082 Erhvervsregulering "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"0821 Tilsyns- og registreringsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082111 Konkurrencestyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08211110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"0823 Finansielt tilsyn "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082301 Finanstilsynet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08230110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"083 Erhvervsfremme og byggeri "; 0,0; 0,0; 98,5; 88,5; 86,0; 86,0
"0831 Fællesudgifter "; 0,0; 0,0; 0,4; 0,4; 0,4; 0,4
"083101 Erhvervs- og Byggestyrelsen "; 0,0; 0,0; 0,4; 0,4; 0,4; 0,4
"08310110 Almindelig virksomhed "; 0,0; 0,0; 0,4; 0,4; 0,4; 0,4
"0833 Erhvervsudvikling mv. "; 0,0; 0,0; 90,6; 88,1; 85,6; 85,6
"083301 Erhvervsudvikling mv. "; 0,0; 0,0; 35,6; 35,6; 35,6; 35,6
"08330147 Reserve til fremme af dansk design "; 0,0; 0,0; 9,6; 9,6; 9,6; 9,6
"08330171 Tilskud til standardisering m.v. "; 0,0; 0,0; 26,0; 26,0; 26,0; 26,0
"083304 LæsInd tilskudsordning "; 0,0; 0,0; 20,0; 17,5; 15,0; 15,0
"08330410 LæsInd L. 1203 27/12 2003 "; 0,0; 0,0; 20,0; 17,5; 15,0; 15,0
"083379 Iværksætter- og innovationsinitiativer "; 0,0; 0,0; 35,0; 35,0; 35,0; 35,0
"08337920 Iværksætter- og innovationsinitiativer "; 0,0; 0,0; 35,0; 35,0; 35,0; 35,0
"0835 Regionaludvikling og turisme mv. "; 0,0; 0,0; 7,5; 0,0; 0,0; 0,0
"083502 Turisme "; 0,0; 0,0; 7,5; 0,0; 0,0; 0,0
"08350210 VisitDenmark "; 0,0; 0,0; 7,5; 0,0; 0,0; 0,0
"084 Byggeforskning "; 0,0; 0,0; 4,0; 4,0; 4,0; 4,0
"0846 Forskning, udvikling, byer, boliger, byggeri "; 0,0; 0,0; 4,0; 4,0; 4,0; 4,0
"084601 Statens Byggeforskningsinstitut "; 0,0; 0,0; 4,0; 4,0; 4,0; 4,0
"08460120 Tilgængelighedsrådgivning "; 0,0; 0,0; 4,0; 4,0; 4,0; 4,0
"085 Statistik "; 0,0; 0,0; 1,5; 1,0; 0,6; 0,6
"0851 Statistik "; 0,0; 0,0; 1,5; 1,0; 0,6; 0,6
"085101 Danmarks Statistik "; 0,0; 0,0; 1,5; 1,0; 0,6; 0,6
"08510110 Almindelig virksomhed "; 0,0; 0,0; 1,5; 1,0; 0,6; 0,6
"087 Søfart "; 0,0; 0,0; 1,1; 0,2; 0,2; 0,2
"0871 Fællesudgifter "; 0,0; 0,0; 1,1; 0,2; 0,2; 0,2
"087101 Søfartsstyrelsen "; 0,0; 0,0; 1,1; 0,2; 0,2; 0,2
"08710110 Almindelig virksomhed "; 0,0; 0,0; 1,1; 0,2; 0,2; 0,2
"09 Skatteministeriet "; 0,0; 0,0; -116,8; -41,4; 0,9; 0,4
"091 Fællesudgifter "; 0,0; 0,0; 23,6; 25,7; 25,5; 24,4
"0911 Centralstyrelsen "; 0,0; 0,0; 23,6; 25,7; 25,5; 24,4
"091101 Departementet "; 0,0; 0,0; -0,7; 0,9; 0,9; 0,4
"09110110 Almindelig virksomhed "; 0,0; 0,0; -0,7; 0,9; 0,9; 0,4
"091102 Landsskatteretten "; 0,0; 0,0; 24,3; 24,8; 24,6; 24,0
"09110210 Almindelig virksomhed "; 0,0; 0,0; 24,3; 24,8; 24,6; 24,0
"092 Forvaltning "; 0,0; 0,0; -140,4; -67,1; -24,6; -24,0
"0921 Skatte- og afgiftsforvaltning "; 0,0; 0,0; -140,4; -67,1; -24,6; -24,0
"092101 Skat "; 0,0; 0,0; -58,5; -69,1; -67,1; -64,8
"09210110 Almindelig virksomhed "; 0,0; 0,0; -58,5; -69,1; -67,1; -64,8
"092108 Restanceinddrivelse "; 0,0; 0,0; -76,7; -73,6; -70,7; -67,9
"09210810 Restanceinddrivelse "; 0,0; 0,0; -76,7; -73,6; -70,7; -67,9
"092179 Reserver og budgetregulering "; 0,0; 0,0; -5,2; 75,6; 113,2; 108,7
"09217910 Reserve vedr. systemmodernisering "; 0,0; 0,0; -12,0; 0,0; 0,0; 0,0
"09217920 Budgetregulering ved systemmodernisering "; 0,0; 0,0; 6,8; 75,6; 113,2; 108,7
"11 Justitsministeriet "; 0,0; 0,0; 97,2; 133,7; 40,2; 40,0
"111 Fællesudgifter "; 0,0; 0,0; 3,4; 4,0; 4,0; 3,8
"1111 Centralstyrelsen "; 0,0; 0,0; 3,4; 4,0; 4,0; 3,8
"111101 Departementet "; 0,0; 0,0; 3,0; 3,0; 3,0; 3,0
"11110140 Støtte til foreninger mv. "; 0,0; 0,0; 3,0; 3,0; 3,0; 3,0
"111111 Civilstyrelsen "; 0,0; 0,0; 0,4; 1,0; 1,0; 0,8
"11111110 Almindelig virksomhed "; 0,0; 0,0; 0,4; 1,0; 1,0; 0,8
"112 Politivæsenet "; 0,0; 0,0; -50,0; 50,0; 0,0; 0,0
"1123 Politi "; 0,0; 0,0; -50,0; 50,0; 0,0; 0,0
"112301 Politiet og anklagemyndigheden m.v. "; 0,0; 0,0; -50,0; 50,0; 0,0; 0,0
"11230140 Modernisering af politiets IT "; 0,0; 0,0; -50,0; 50,0; 0,0; 0,0
"113 Kriminalforsorg "; 0,0; 0,0; 90,8; 79,7; 36,2; 36,2
"1131 Kriminalforsorg "; 0,0; 0,0; 90,8; 79,7; 36,2; 36,2
"113101 Direktoratet for Kriminalforsorgen "; 0,0; 0,0; 1,2; 1,2; 0,0; 0,0
"11310110 Almindelig virksomhed "; 0,0; 0,0; 1,2; 1,2; 0,0; 0,0
"113103 Kriminalforsorgen i anstalter og frihed "; 0,0; 0,0; 89,6; 78,5; 36,2; 36,2
"11310310 Almindelig virksomhed "; 0,0; 0,0; 89,6; 78,5; 36,2; 36,2
"114 Retsvæsenet "; 0,0; 0,0; 53,0; 0,0; 0,0; 0,0
"1141 Fællesudgifter "; 0,0; 0,0; 53,0; 0,0; 0,0; 0,0
"114105 Tinglysning "; 0,0; 0,0; 53,0; 0,0; 0,0; 0,0
"11410520 Udvikling af digitalt tinglysningssystem "; 0,0; 0,0; 53,0; 0,0; 0,0; 0,0
"12 Forsvarsministeriet "; 0,0; 0,0; 363,2; 0,0; 0,0; 0,0
"122 Militært forsvar "; 0,0; 0,0; 368,4; 0,0; 0,0; 0,0
"1221 Forsvarskommandoen og Hjemmeværnet "; 0,0; 0,0; 368,4; 0,0; 0,0; 0,0
"122101 Forsvarskommandoen "; 0,0; 0,0; 368,4; 0,0; 0,0; 0,0
"12210110 Almindelig virksomhed "; 0,0; 0,0; 368,4; 0,0; 0,0; 0,0
"124 Redningsberedskab "; 0,0; 0,0; -5,2; 0,0; 0,0; 0,0
"1241 Redningsberedskab "; 0,0; 0,0; -5,2; 0,0; 0,0; 0,0
"124101 Redningsberedskabet "; 0,0; 0,0; -5,2; 0,0; 0,0; 0,0
"12410150 Risikovur. mv. i d. kom. redn.bered.skab m.v."; 0,0; 0,0; -5,2; 0,0; 0,0; 0,0
