"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2006";"2007";"2008";"2009";"2010";"2011" 
"06 Udenrigsministeriet "; -99,4; -100,1; -435,4; -32,3; 11,5; 17,7
"061 Udenrigstjenesten m.v. "; -99,4; -100,1; -448,0; -50,6; -0,6; -0,6
"0611 Udenrigstjenesten "; -99,4; -100,1; -448,0; -50,6; -0,6; -0,6
"061101 Udenrigstjenesten "; -4,9; -4,9; -2,3; -4,9; 0,0; 0,0
"06110110 Generel udenrigspolitik "; -4,9; -4,9; -4,9; -4,9; 0,0; 0,0
"06110120 Administration af udviklingsbistand "; 0,0; 0,0; 2,6; 0,0; 0,0; 0,0
"061113 DCISM "; 0,0; 0,0; -0,6; -0,6; -0,6; -0,6
"06111310 Almindelig virksomhed "; 0,0; 0,0; -0,6; -0,6; -0,6; -0,6
"061121 Udlodninger fra IØ og IFU "; 0,0; 0,0; -400,0; 0,0; 0,0; 0,0
"06112110 Udlodninger fra IØ og IFU "; 0,0; 0,0; -400,0; 0,0; 0,0; 0,0
"061127 Klimaprojekter i udviklingslande "; -94,5; -95,2; -45,1; -45,1; 0,0; 0,0
"06112710 CO2-kreditter i udviklingslande "; -94,5; -95,2; -45,1; -45,1; 0,0; 0,0
"063 Bistand til udviklingslandene "; 0,0; 0,0; 12,6; 18,3; 12,1; 18,3
"0632 Bilateral bistand "; 0,0; 0,0; -2,6; 0,0; 0,0; 0,0
"063201 Udviklingslande i Afrika "; 0,0; 0,0; 47,4; 0,0; 0,0; 0,0
"06320123 Øvrige lande i Afrika "; 0,0; 0,0; 47,4; 0,0; 0,0; 0,0
"063207 Lånebistand "; 0,0; 0,0; -50,0; 0,0; 0,0; 0,0
"06320714 Gældslettelse til udviklingslandene "; 0,0; 0,0; -50,0; 0,0; 0,0; 0,0
"0635 Forsknings- og oplysningsvirksomhed "; 0,0; 0,0; 15,2; 18,3; 12,1; 18,3
"063501 Forskning og oplysning i Danmark m.v. "; 0,0; 0,0; 15,2; 18,3; 12,1; 18,3
"06350111 Forskningsvirksomhed "; 0,0; 0,0; 15,2; 18,3; 12,1; 18,3
"07 Finansministeriet "; 0,0; 0,0; 1490,2; 59,4; 41,4; 9,7
"071 Offentlig økonomi "; 0,0; 0,0; 1490,2; 59,4; 41,4; 9,7
"0711 Centralstyrelsen "; 0,0; 0,0; 84,5; 57,7; 39,7; 8,0
"071102 Effektivisering af offentlige institutioner "; 0,0; 0,0; 84,5; 57,7; 39,7; 8,0
"07110230 Administrative servicecentre i staten "; 0,0; 0,0; 59,0; 0,0; 0,0; 0,0
"07110260 Kvalitetsreform "; 0,0; 0,0; 15,5; 30,2; 29,7; 5,0
"07110270 Afbureaukratisering på det kommunale område "; 0,0; 0,0; 10,0; 27,5; 10,0; 3,0
"0714 Personalerådgivning, løn- og pensionsforvalt. "; 0,0; 0,0; 5,7; 1,7; 1,7; 1,7
"071401 Personalestyrelsen "; 0,0; 0,0; 5,7; 1,7; 1,7; 1,7
"07140110 Almindelig virksomhed "; 0,0; 0,0; 5,7; 1,7; 1,7; 1,7
"0715 Statslige selskaber "; 0,0; 0,0; 1400,0; 0,0; 0,0; 0,0
"071507 Statens kapitalindskud "; 0,0; 0,0; 1400,0; 0,0; 0,0; 0,0
"07150720 Statens kapitalindskud i Finansieringsfonden "; 0,0; 0,0; -1600,0; 0,0; 0,0; 0,0
"07150740 Danmarks Grundforskningsfond "; 0,0; 0,0; 3000,0; 0,0; 0,0; 0,0
"08 Økonomi- og Erhvervsministeriet "; 0,0; 0,0; 4,3; 5,7; 5,5; 2,1
"081 Fællesudgifter "; 0,0; 0,0; 3,9; 3,4; 3,4; 0,0
