"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2008";"2009";"2010";"2011";"2012";"2013" 
"06 Udenrigsministeriet "; 0,0; 0,0; 43,7; 10,7; 7,2; 9,2
"061 Udenrigstjenesten m.v. "; 0,0; 0,0; 15,0; 12,7; 11,2; 9,2
"0611 Udenrigstjenesten "; 0,0; 0,0; 15,0; 12,7; 11,2; 9,2
"061101 Udenrigstjenesten "; 0,0; 0,0; 0,5; -0,8; -0,8; -0,8
"06110110 Generel udenrigspolitik "; 0,0; 0,0; -0,8; -0,8; -0,8; -0,8
"06110130 Eksport- og investeringsfremme mv. "; 0,0; 0,0; 1,3; 0,0; 0,0; 0,0
"061113 DCISM "; 0,0; 0,0; 4,5; 3,5; 2,0; 0,0
"06111310 Almindelig virksomhed "; 0,0; 0,0; 4,5; 3,5; 2,0; 0,0
"061115 Ikke-lovbundne tilskud "; 0,0; 0,0; 10,0; 10,0; 10,0; 10,0
"06111540 Moderne sikkerhed "; 0,0; 0,0; 10,0; 10,0; 10,0; 10,0
"063 Bistand til udviklingslandene "; 0,0; 0,0; -2,0; -2,0; -4,0; 0,0
"0635 Forsknings- og oplysningsvirksomhed "; 0,0; 0,0; -2,0; -2,0; -4,0; 0,0
"063501 Forskning og oplysning i Danmark mv. "; 0,0; 0,0; -2,0; -2,0; -4,0; 0,0
"06350117 Seminarer, kurser, konferencer mv. "; 0,0; 0,0; -2,0; -2,0; -4,0; 0,0
"064 eksportfremme "; 0,0; 0,0; 30,7; 0,0; 0,0; 0,0
"0641 Fællesudgifter "; 0,0; 0,0; 30,7; 0,0; 0,0; 0,0
"064102 Eksportstipendiater "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06410220 Innovationscentre "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"064103 Særlige eksportfremmetilskud "; 0,0; 0,0; 30,7; 0,0; 0,0; 0,0
"06410310 smv-programmet "; 0,0; 0,0; 6,7; 0,0; 0,0; 0,0
"06410320 Eksportfremmetilskud "; 0,0; 0,0; 24,0; 0,0; 0,0; 0,0
"07 Finansministeriet "; 0,0; 0,0; 850,3; 535,3; 328,6; 292,8
"071 Offentlig økonomi "; 0,0; 0,0; 850,3; 535,3; 328,6; 292,8
"0711 Centralstyrelsen "; 0,0; -176,3; -38,9; -11,4; -0,1; 0,0
"071101 Departementet "; 0,0; 0,0; -6,3; -6,2; -6,0; -5,9
"07110110 Almindelig virksomhed "; 0,0; 0,0; -6,3; -6,2; -6,0; -5,9
"071102 Effektivisering af offentlige institutioner "; 0,0; -176,3; -32,5; -5,1; 6,0; 6,0
"07110261 Videncenter for velfærdsledelse "; 0,0; 0,0; 2,0; 6,0; 6,0; 6,0
"07110280 Arbejdskraftbesparende teknologi "; 0,0; -176,3; -34,5; -11,1; 0,0; 0,0
"071108 DREAM-Gruppen "; 0,0; 0,0; -0,1; -0,1; -0,1; -0,1
"07110810 Almindelig virksomhed "; 0,0; 0,0; -0,1; -0,1; -0,1; -0,1
"0712 Økonomisystemer og økonomiforvaltning "; 0,0; 176,3; 407,0; 1,2; -10,4; -10,1
"071201 Økonomistyrelsen "; 0,0; 0,0; -11,5; -10,9; -10,4; -10,1
"07120110 Almindelig virksomhed "; 0,0; 0,0; -11,5; -10,9; -10,4; -10,1
"071203 ABT-fonden - Anvendt Borgernær Teknologi "; 0,0; 176,3; 418,5; 12,1; 0,0; 0,0
"07120310 ABT-fonden - Anvendt Borgernær Teknologi "; 0,0; 176,3; 230,0; 1,0; 0,0; 0,0
"07120320 Teleløsninger og IKT "; 0,0; 0,0; 11,6; 0,0; 0,0; 0,0
"07120330 Robotteknologi og automatisering "; 0,0; 0,0; 10,0; 0,0; 0,0; 0,0
"07120340 Digitalisering "; 0,0; 0,0; 77,9; 0,0; 0,0; 0,0
"07120350 Omsorgsteknologi "; 0,0; 0,0; 26,3; 0,0; 0,0; 0,0
"07120360 Projekter overført fra tidligere år "; 0,0; 0,0; 62,7; 11,1; 0,0; 0,0
"0713 Finansforvaltning "; 0,0; 0,0; 45,0; 75,0; 5,0; 5,0
"071306 Barselsfonden "; 0,0; 0,0; 5,0; 5,0; 5,0; 5,0
"07130610 Barselsfonden "; 0,0; 0,0; 5,0; 5,0; 5,0; 5,0
"071342 Danske Spil "; 0,0; 0,0; 40,0; 70,0; 0,0; 0,0
"07134210 Danske Spil "; 0,0; 0,0; 40,0; 70,0; 0,0; 0,0
"0714 Personalerådgivning, løn- og pensionsforvalt. "; 0,0; 0,0; -11,3; -13,2; -14,5; -14,3
"071401 Personalestyrelsen "; 0,0; 0,0; -3,2; -3,1; -3,1; -3,0
"07140110 Almindelig virksomhed "; 0,0; 0,0; -3,2; -3,1; -3,1; -3,0
"071411 Statens Center for Kompetence- og Kvalitetsud "; 0,0; 0,0; -0,7; -0,7; -0,7; -0,6
"07141110 Almindelig virksomhed "; 0,0; 0,0; -0,7; -0,7; -0,7; -0,6
"071431 Europa-Parlamentet "; 0,0; 0,0; -7,4; -9,4; -10,7; -10,7
"07143110 Vederlag til Europa-parlamentsmedlemmer "; 0,0; 0,0; -7,4; -9,4; -10,7; -10,7
"0716 Slotte og ejendomme "; 0,0; 0,0; 118,7; 152,2; 24,8; -5,2
"071601 SEA-ordningen "; 0,0; 0,0; 50,0; 80,0; 0,0; 0,0
"07160110 SEA-virksomheden "; 0,0; 0,0; 50,0; 80,0; 0,0; 0,0
"071603 Slots- og Ejendomsstyrelsen "; 0,0; 0,0; -5,4; -5,4; -5,3; -5,2
"07160310 Driftsbudget "; 0,0; 0,0; -5,4; -5,4; -5,3; -5,2
"071604 Slots- og Ejendomsstyrelsen - Slotte og haver "; 0,0; 0,0; 74,1; 77,6; 30,1; 0,0
"07160410 Vedligeholdelse, anlæg vedr. slotte og haver "; 0,0; 0,0; 74,1; 77,6; 30,1; 0,0
"0717 Statens It "; 0,0; 0,0; 329,8; 331,5; 323,8; 317,4
