"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2002";"2003";"2004";"2005";"2006";"2007" 
"05 Statsministeriet "; 0,0; 0,0; 0,5; 0,5; 0,5; 0,5
"051 Fællesudgifter "; 0,0; 0,0; 0,5; 0,5; 0,5; 0,5
"0511 Centralstyrelsen "; 0,0; 0,0; 0,5; 0,5; 0,5; 0,5
"051101 Departementet "; 0,0; 0,0; 0,5; 0,5; 0,5; 0,5
"05110140 Nordatlantens Brygge "; 0,0; 0,0; 0,5; 0,5; 0,5; 0,5
"06 Udenrigsministeriet "; 0,0; 0,0; 77,9; -24,0; -28,0; -33,0
"061 Udenrigstjenesten m.v. "; 0,0; 0,0; 117,8; 15,9; 9,9; 4,9
"0611 Udenrigstjenesten "; 0,0; 0,0; 117,8; 15,9; 9,9; 4,9
"061101 Udenrigstjenesten "; 0,0; 0,0; -11,6; -16,9; -17,1; -17,3
"06110110 Generelle opgaver "; 0,0; 0,0; -4,4; 2,4; 2,4; 2,4
"06110120 Administration af udviklingsbistand "; 0,0; 0,0; 6,5; 1,2; 1,0; 0,8
"06110130 Eksportfremme "; 0,0; 0,0; -13,7; -20,5; -20,5; -20,5
"061119 Støtteindsatser i EU's nabolande "; 0,0; 0,0; 34,2; 32,8; 27,0; 22,2
"06111925 Støtteindsatser i EU's nabolande "; 0,0; 0,0; 34,2; 32,8; 27,0; 22,2
"061127 Klimaprojekter i udviklingslande "; 0,0; 0,0; 95,2; 0,0; 0,0; 0,0
"06112710 CO2-kreditter i udviklingslande "; 0,0; 0,0; 95,2; 0,0; 0,0; 0,0
"062 Internationale organisationer "; 0,0; 0,0; 4,1; 4,1; 4,1; 4,1
"0621 Nordiske formål "; 0,0; 0,0; 3,1; 3,1; 3,1; 3,1
"062102 Nordisk projekteksportfond (NOPEF) "; 0,0; 0,0; 3,1; 3,1; 3,1; 3,1
"06210210 NOPEF "; 0,0; 0,0; 3,1; 3,1; 3,1; 3,1
"0622 Øvrige internationale organisationer "; 0,0; 0,0; 1,0; 1,0; 1,0; 1,0
"062203 Øvrige organisationer "; 0,0; 0,0; 1,0; 1,0; 1,0; 1,0
"06220310 Almindelig virksomhed "; 0,0; 0,0; 1,0; 1,0; 1,0; 1,0
"063 Bistand til udviklingslandene "; 0,0; 0,0; -44,0; -44,0; -42,0; -42,0
"0633 NGO-bistand "; 0,0; 0,0; -44,0; -44,0; -42,0; -42,0
"063301 Bistand gennem private organisationer "; 0,0; 0,0; -44,0; -44,0; -42,0; -42,0
"06330110 Projektstøtte under rammeaftaler "; 0,0; 0,0; -44,0; -44,0; -42,0; -42,0
"0639 Humanitær bistand "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"063902 Ekstraordinære humanitære bidrag "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06390210 Ekstraordinære humanitære bidrag "; 0,0; 0,0; -45,0; 0,0; 0,0; 0,0
"06390211 Internationalt Humanitært Beredskab (IHB) "; 0,0; 0,0; 45,0; 0,0; 0,0; 0,0
"07 Finansministeriet "; 0,0; 0,0; -450,6; -55,0; -75,7; -88,9
"071 Offentlig økonomi "; 0,0; 0,0; -450,6; -55,0; -75,7; -88,9
"0711 Centralstyrelsen "; 0,0; 0,0; -502,5; 14,3; 0,0; 0,0
"071112 Velfærdskommissionen "; 0,0; 0,0; 17,5; 14,3; 0,0; 0,0
"07111210 Velfærdskommissionen "; 0,0; 0,0; 17,5; 14,3; 0,0; 0,0
"071127 Overførsel fra Hypotekbankens reserver "; 0,0; 0,0; -520,0; 0,0; 0,0; 0,0
"07112710 Overførsel fra Hypotekbankens reserver "; 0,0; 0,0; -520,0; 0,0; 0,0; 0,0
"0712 Økonomisystemer og økonomiforvaltning "; -1,6; 0,0; 0,1; 0,1; 0,1; 0,1
"071201 Økonomistyrelsen "; -1,6; 0,0; 0,1; 0,1; 0,1; 0,1
"07120110 Almindelig virksomhed "; -1,6; 0,0; 0,1; 0,1; 0,1; 0,1
"07120120 Finansministeriets Administrative Fællesskab "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"0713 Finansforvaltning "; 1,6; 0,0; 201,8; 80,6; 74,2; 61,0
"071301 Finansstyrelsen "; 1,6; 0,0; -0,1; -0,1; -0,1; -0,1
"07130110 Almindelig virksomhed "; 1,6; 0,0; -0,1; -0,1; -0,1; -0,1
"071305 Fleksjobordning i staten m.v. "; 0,0; 0,0; 90,9; -30,3; -30,3; -30,3
"07130510 Fleksjobordning i staten m.v. "; 107,5; 0,0; 53,1; -30,3; -30,3; -30,3
"07130520 Selvejende institutioner m.v. "; -107,5; 0,0; 37,8; 0,0; 0,0; 0,0
"071335 Afdrag på lån vedr. udvik.bistand u. Udenrigs "; 0,0; 0,0; 111,0; 111,0; 104,6; 91,4
"07133510 Afdrag og indfrielser "; 0,0; 0,0; 111,0; 111,0; 104,6; 91,4
"0715 Statslige selskaber "; 0,0; 0,0; -150,0; -150,0; -150,0; -150,0
"071501 Udbytte m.v. fra statslige selskaber "; 0,0; 0,0; -150,0; -150,0; -150,0; -150,0
"07150110 Udbytte m.v. "; 0,0; 0,0; -150,0; -150,0; -150,0; -150,0
"0716 Slotte og ejendomme "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071602 Slots- og Ejendomsstyrelsen - Kontorejendomme "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07160220 Låntagning "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08 Økonomi- og Erhvervsministeriet "; 0,0; 0,0; -3850,6; -2193,7; -2173,7; -2383,7
"081 Fællesudgifter "; 0,0; 0,0; 1,0; 1,0; 1,0; 1,0
"0811 Centralstyrelsen "; 0,0; 0,0; 1,0; 1,0; 1,0; 1,0
"081104 Europæiske Bank for Genopbygning og Udvikling "; 0,0; 0,0; 1,0; 1,0; 1,0; 1,0
"08110420 EBRD's Trustfond "; 0,0; 0,0; 1,0; 1,0; 1,0; 1,0
"082 Erhvervsregulering og forbrugerforhold "; 0,0; 0,0; 3,0; 3,0; 3,0; 3,0
"0821 Tilsyns- og registreringsvirksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082111 Konkurrencestyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08211110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08211111 Sekretariat for Energitilsynet "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"082121 Erhvervs- og Selskabsstyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"08212110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"0822 Forbrugerbeskyttelse og -oplysning "; 0,0; 0,0; 3,0; 3,0; 3,0; 3,0
"082215 Forbrugerrådet "; 0,0; 0,0; 3,0; 3,0; 3,0; 3,0
"08221510 Forbrugerrådet "; 0,0; 0,0; 3,0; 3,0; 3,0; 3,0
"083 Erhvervsfremme og boligforhold "; 0,0; 0,0; 5,1; 8,2; 5,1; 4,0
"0831 Fællesudgifter "; 0,0; 0,0; 0,6; 0,5; 0,0; 0,0
"083101 Erhvervs- og Boligstyrelsen "; 0,0; 0,0; 0,6; 0,5; 0,0; 0,0
"08310110 Almindelig virksomhed "; 0,0; 0,0; 0,6; 0,5; 0,0; 0,0
"0832 Eksportfinansiering og øststøtte m.v. "; 0,0; 0,0; 4,4; 3,5; 1,0; 0,0
"083201 Øststøtte m.v. "; 0,0; 0,0; 4,4; 3,5; 1,0; 0,0
"08320139 Erhvervsrelateret indsats 2004-2007 "; 0,0; 0,0; 4,4; 3,5; 1,0; 0,0
"0833 Erhvervsfremme m.v. "; 0,0; 0,0; -0,9; 4,2; 4,1; 4,0
"083301 Erhvervsfremme m.v. "; 0,0; 0,0; -0,9; 4,2; 4,1; 4,0
"08330155 Offentligt-privat samspil "; 0,0; 0,0; -7,3; -0,5; -0,5; -0,5
"08330163 Produktivitet i byggeriet "; 0,0; 0,0; 1,4; 4,7; 4,6; 4,5
