"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2001";"2002";"2003";"2004";"2005";"2006" 
"05 Statsministeriet "; 0,0; 0,0; 3,0; 0,0; 0,0; 0,0
"051 Fællesudgifter "; 0,0; 0,0; 3,0; 0,0; 0,0; 0,0
"0512 Grønland og Færøerne "; 0,0; 0,0; 3,0; 0,0; 0,0; 0,0
"051203 Rigsombudsmanden i Grønland "; 0,0; 0,0; 3,0; 0,0; 0,0; 0,0
"05120310 Almindelig virksomhed "; 0,0; 0,0; 3,0; 0,0; 0,0; 0,0
"06 Udenrigsministeriet "; 0,0; 0,0; -2,4; -8,6; -8,6; -8,6
"061 Udenrigstjenesten m.v. "; 0,0; 0,0; -2,4; -8,6; -8,6; -8,6
"0611 Udenrigstjenesten "; 0,0; 0,0; -2,4; -8,6; -8,6; -8,6
"061101 Udenrigstjenesten "; 0,0; 0,0; -8,4; -8,6; -8,6; -8,6
"06110110 Generelle opgaver "; 0,0; 0,0; -8,4; -8,6; -8,6; -8,6
"061113 DCISM "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06111310 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061178 Budgetreguleringskonto "; 0,0; 0,0; 6,0; 0,0; 0,0; 0,0
"06117810 Neg. budg.reg. vedr. just. af UMs ejendomme "; 0,0; 0,0; 6,0; 0,0; 0,0; 0,0
"07 Finansministeriet "; 90,0; 42,4; -579,7; 121,4; 121,4; 254,7
"071 Offentlig økonomi "; 90,0; 42,4; -579,7; 121,4; 121,4; 254,7
"0711 Centralstyrelsen "; 0,0; 0,0; -267,5; 30,0; 30,0; 30,0
"071101 Departementet "; 0,0; 0,0; 2,5; 0,0; 0,0; 0,0
"07110110 Almindelig virksomhed "; 0,0; 0,0; 2,5; 0,0; 0,0; 0,0
"071104 Fremme af digital forvaltning "; 0,0; 0,0; 30,0; 30,0; 30,0; 30,0
"07110410 Fremme af digital forvaltning "; 0,0; 0,0; 15,0; 0,0; 0,0; 0,0
"07110420 Digitalisering i staten "; 0,0; 0,0; 15,0; 30,0; 30,0; 30,0
"071127 Overførsel fra Hypotekbankens reserver "; 0,0; 0,0; -300,0; 0,0; 0,0; 0,0
"07112710 Overførsel fra Hypotekbankens reserver "; 0,0; 0,0; -300,0; 0,0; 0,0; 0,0
